TERMOS;OBSERVA��O (CARACTERES);EXLCUIR;sin�nimo (categoria);Frequency
GYNECOLOGY RESIDENCY;;;;1
HAGAR SARAH;;;;1
HANDMAID PROTESTS;;;;1
HANDMAIDS TALE;;;HANDMAIDS TALE;1
HANDMAIDS TALEI;;;HANDMAIDS TALE;1
HANDS HIERARCHIES;;;;1
HANDS IMPROVING;;;;1
HANDS WOMENS;;;;1
HAPPY FAMILY;;;;1
HAPPY MOTHERS;;;HAPPY MOTHERS;1
HAPPY MOTHERSI;;;HAPPY MOTHERS;1
HASHTAG FEMINISM;;;;1
HATH DOBBS;;;DOBBS DECISION;1
HAUNTED NORDIC;;;;1
HEAL DISTORTED;;;;1
HEALERS VERSUS;;;;1
HEALTH APPROACH;;;HEALTH RESEARCH;1
HEALTH BELIEF;;;HEALTH ISSUE;1
HEALTH CAMPAIGN;;;HEALTH CARE;1
HEALTH CENTER;;;HEALTH CARE;1
HEALTH CENTERS;;;HEALTH CARE;1
HEALTH CLASSROOM;;;;1
HEALTH CLINIC;;;HEALTH CARE;1
HEALTH CLINICAL;;;HEALTH CARE;1
HEALTH COALITION;;;;1
HEALTH COMMUNICATION;;;HEALTH CARE;1
HEALTH CONSEQUENCES;;;HEALTH CONSEQUENCES;1
HEALTH CONSULTATION;;;HEALTH CARE;1
HEALTH CONTROVERSIES;;;HEALTH ISSUE;1
HEALTH EQUITYI;;;EQUITY ADDRESSING;1
HEALTH ETHICALLY;;;HEALTH ISSUE;1
HEALTH EXPERIENCE;;;HEALTH EXPERIENCE;1
HEALTH EXPERIENCES;;;HEALTH EXPERIENCE;1
HEALTH HONORING;;;;1
HEALTH HOSPITALS;;;HEALTH CARE;1
HEALTH HUMANITIES;;;HEALTH ISSUE;1
HEALTH INITIATIVE;;;HEALTH CARE;1
HEALTH INTERNSHIP;;;;1
HEALTH INTERSECTIONALITY;;;HEALTH JUSTICE;1
HEALTH INTRODUCING;;;HEALTH ISSUE;1
HEALTH ISSUE;;;HEALTH ISSUE;1
HEALTH KNOWLEDGE;;;;1
HEALTH MOVEMENTS;;;HEALTH ACTIVISM;1
HEALTH NURSING;;;;1
HEALTH ORGANIZATION;;;HEALTH ACTIVISM;1
HEALTH OUTCOMES;;;HEALTH CONSEQUENCES;1
HEALTH PRIORITIZING;;;;1
HEALTH PROGRAM;;;HEALTH CARE;1
HEALTH SERVICE;;;HEALTH CARE;1
HEALTH SYSTEMS;;;HEALTH CARE;1
HEALTH THEORIES;;;HEALTH RESEARCH;1
HEALTHCARE DELIVERY;;;HEALTH CARE;1
HEALTH-CARE ENCOUNTERS;;;HEALTH CARE;1
HEALTHCARE PATHWAYS;;;HEALTH CARE;1
HEALTHCARE PROFESSIONALS;;;HEALTH CARE;1
HEALTHCARE PROVIDER;;;HEALTH CARE;1
HEALTHCARE SETTINGS;;;HEALTH CARE;1
HEARTBEAT BILL;;;;1
HERBAL ABORTIFACIENTS;;;;1
HIDDEN MOTHERS;;;;1
HIGH-RISK BODY;;;;1
HINDU BALINESE;;;;1
HISPANIC AMERICAN;;;;1
HISPANIC MOTHERS;;;;1
HISTORICAL APPROACH;;;;1
HISTORICAL LESSONS;;;;1
HISTORICAL TRAUMA;;;;1
HISTORY TRANS;;;;1
HIV-AFFECTED COUPLES;;;;1
HIVAIDS CRISIS;;;;1
HOBBY LOBBY;;;;1
HOME FEMINIST;;;;1
HOMELESSNESS ASSISTANCE;;;;1
HONG KONGS;;;;1
HOPE RAISED;;;;1
HORMONAL CONTRACEPTIVE;;;HORMONAL CONTRACEPTIVE;1
HORMONAL METHODS;;;;1
HORMONE CONTRACEPTIVE;;;HORMONAL CONTRACEPTIVE;1
HORTENSE SPILLERS;;;;1
HOSPITAL CARE;;;HEALTH CARE;1
HUMAN GENOME;;;;1
HUMAN MILK-EXPRESSION;;;;1
HUMAN SEXUALITY;;;;1
HUMAN SUFFERING;;;;1
HUMAN TRAFFICKING;;;;1
HUMANITIES CONSORTIUM;;;;1
HUMANIZING ACTS;;;;1
HYDE AMENDMENT;;;;1
HYPERTENSIVE DISORDERS;;;;1
HYSTERICAL SOLIDARITY;;;;1
I- CONCLUSION;;;;1
IA DAILY;;;;1
IA HOUSE;;;;1
IA REPRODUCTIVE;;;;1
IA VISION;;;;1
IAN ECOFEMINIST;;;;1
IAND GENETIC;;;;1
IAND WHITE;;;;1
IANDI POPULATION;;;;1
ICAN DEMONSTRATION;;;;1
ICE HEALTH;;;;1
ICSCMI REPRODUCTIVE;;1;;1
ID- EQUITY;;;EQUITY ADDRESSING;1
IDEALIST RHETORIC;;;;1
IDEATH STRANDINGI;;;;1
IDENTIFY REPRODUCTIVE;;;;1
IDENTITY RESPONSE;;;;1
IDISABILITYI IAND;;;;1
IDOBBSI DECISION;;;DOBBS DECISION;1
IDOBBSI LEAK;;;DOBBS DECISION;1
IEMPOWERING WOMEN;;;;1
IESPANTA CIGUENASI;;;;1
IETHICAL LESSONS;;;ETHICAL ISSUES;1
IGENDERI IDISABILITYI;;;;1
II DONT;;1;;1
II IA;;1;;1
II SOCIOECONOMIC;;1;;1
II ULSTER;;1;;1
III SURVEY;;1;;1
IIMMIGRANT YOUTHS;;;ADDRESSING TEENAGE;1
IJUSTICA REPRODUTIVAI;;1;;1
IKELLIE TURTLE;;;;1
ILLEGAL ABORTION;;;ABORTION STUDY;1
ILLEGALIZED MIGRANT;;;;1
ILLINOIS CONTRACEPTIVE;;;;1
ILLNESS DIAGNOSES;;;;1
ILLUMINATING SOLIDARITY;;;;1
ILORETTA ROSS;;;;1
IMAGES SHAPES;;;;1
IMAGINATION ADDRESSING;;;;1
IMAGINED CONSEQUENCES;;;;1
IMAGINING CHILDREN;;;;1
IMAGINING FUTURES;;;;1
IMAGINING REPRODUCTIVE;;;;1
IMARRIAGEI IAND;;;;1
IMMATERIAL INTIMACY;;;;1
IMMIGRANT WOMEN;;;;1
IMMOBILITY SPATIAL;;;;1
IMONEYI ISEXI;;;;1
IMPACTS BLACK;;;BLACK LIVES;1
IMPEDES PROGRESS;;;;1
IMPORTÂNCIA DOS;CARACTER ESPECIAL;;;1
IMPROVE BLACK;;;BLACK LIVES;1
IMPROVE EQUITABLE;;;EQUITY ADDRESSING;1
IMPROVE MATERNAL;;;IMPROVE MATERNAL;1
IMPROVED PATIENT-CENTERED;;;;1
IMPROVEMENT APPROACH;;;;1
IMPROVING COMMUNITY;;;;1
IMPROVING MATERNAL;;;IMPROVE MATERNAL;1
IMPROVING MEDICATION;;;HEALTH CARE;1
IMYCOPLASMA GENITALIUMI;;;;1
INADEQUATE OBSTETRIC;;;HEALTH CARE;1
INCARCERATED MOMS;;;ABOLITION POLITICS;1
INCARCERATED MOTHERS;;;ABOLITION POLITICS;1
INCARCERATED PEOPLE;;;ABOLITION POLITICS;1
INCARCERATED PREGNANT;;;ABOLITION POLITICS;1
INCARCERATION MATERNAL;;;ABOLITION POLITICS;1
INCARCERATION PRISON;;;ABOLITION POLITICS;1
INCEST EXCEPTIONS;;;;1
INCLUDING DISABLED;;;;1
INCLUDING REPRODUCTIVE;;;;1
INCORPORATING ACTIVIST-ORIENTED;;;;1
INCREASES TENFOLD;;;;1
INCREASINGLY ONLINE;;;;1
INDIA JUDGEMENT;;;;1
INDIA TRACING;;;;1
INDIA TREADING;;;;1
INDIAN CHILD;;;;1
INDIAN COMMUNITY;;;;1
INDIAN MOTHERHOOD;;;;1
INDIAN SURROGACY;;;;1
INDIAN WOMENS;;;;1
INDIAS POPULATION;;;;1
INDIGENOUS AUSTRALIAN;;;;1
INDIGENOUS BIRTHING;;;;1
INDIGENOUS BODY;;;;1
INDIGENOUS GULF;;;;1
INDIGENOUS HEALTH;;;;1
INDIGENOUS RELATIONALITY;;;;1
INDIGENOUS SELF-DETERMINING;;;;1
INDIGENOUS THEATRE;;;ART-BASED APPROACH;1
INDIRECT IMPACTS;;;;1
INDIVIDUAL HETEROGENEITY;;;;1
INDIVIDUAL IMPLICATIONS;;;;1
INDUSTRIAL SECTORS;;;;1
INEQUALITY MATERNIDADES;;;REPRODUCTIVE HEALTH;1
INEQUALITY METHODS;;;EQUITY ADDRESSING;1
INEQUALITY REPRODUCTIVE;;;EQUITY ADDRESSING;1
INEQUITIES EXPLORING;;;EQUITY ADDRESSING;1
INEQUITIES LENS;;;EQUITY ADDRESSING;1
INEQUITIES REPRODUCTIVE;;;EQUITY ADDRESSING;1
INEQUITIES RESEARCH;;;EQUITY ADDRESSING;1
INFANT DEATH;;;CHILD CHALLENGING;1
INFANT MODEL;;;CHILD CHALLENGING;1
INFANT-FEEDING OPTIONS;;;CHILD CHALLENGING;1
INFANTICIDE IMPLICATIONS;;;CHILD CHALLENGING;1
INFANTS RESTORING;;;CHILD CHALLENGING;1
INFERTILITY ADVOCACY;;;;1
INFORM ACTION;;;;1
INFORM RESEARCH;;1;;1
INFORMAL URBAN;;;;1
INFORMED ANALYSIS;;1;;1
INFORMS RACIAL;;;;1
INFOVEILLANCE STUDY;;;;1
INFRASTRUCTURE DEFICITS;;;;1
INFUSING FEMINIST;;;;1
INHABIT ONESELF;;;;1
INIQUIDADES EM;;;EQUITY ADDRESSING;1
INJUSTICE IA;;;;1
INJUSTICE RECOGNIZING;;;;1
INJUSTICE STRIVING;;;;1
INJUSTICE TRANS;;;;1
INPATIENT CONTRACEPTION;;;;1
INPATIENT POSTPARTUM;;;;1
INSEMINATION FORCING;;;ASSISTED REPRODUCTION;1
INSERTIONAL PAIN;;;;1
INSERTIONS MANAGING;;;;1
INSIDEROUTSIDERS REPRODUCTIVE;;;;1
INSTITUTIONAL BARRIERS;;;;1
INSTITUTIONAL CATHOLIC;;;;1
INSTITUTIONAL CONSTRAINTS;;;;1
INSTITUTIONAL REFORMS;;;;1
INSTRUCTION MANUAL;;;;1
INSURANCE STATUS;;;;1
INSURGENT BODIES;;;;1
INTEGRADO DE;;1;;1
INTEGRATED METHODS;;1;;1
INTEGRATED NATIONAL;;;;1
INTEGRATED REPRODUCTIVE;;;;1
INTEGRATING ADOLESCENTS;;;ADDRESSING TEENAGE;1
INTEGRATIVE REVIEW;;1;;1
INTEGRATIVE VISION;;;;1
INTELLECTUALLY DISABLED;;;;1
INTENDED PARENTS;;;;1
INTENTIONAL MULTILINEAL;;;;1
INTERACTIVE CURRICULUM;;;;1
INTERACTIVE REPRODUCTIVE;;;;1
INTERACTIVE SMARTPHONE;;;;1
INTERDICTED MATERNITY;;;REPRODUCTIVE HEALTH;1
INTERDISCIPLINARY SOLUTION;;;;1
INTERGENERATIONAL MALLEABILITY;;;;1
INTERGENERATIONAL TRIALOGUE;;;;1
INTERNAL MEDICINE;;;;1
INTERNATIONAL CANONS;;;;1
INTERNATIONAL CONFERENCE;;;;1
INTERNATIONAL PERSPECTIVES;;;;1
INTERNATIONAL SOLIDARITY;;;;1
INTERNATIONAL SURROGACY;;;;1
INTERNATIONAL VIEW;;;;1
INTERNATIONALIST GENEALOGY;;;;1
INTERNSHIP PROGRAM;;;;1
INTERPRETATIVE REVIEW;;;;1
INTERPROFESSIONAL PRIMARY;;;;1
INTERROGATING COUNTER;;;;1
INTERSECCIONALIDADE DIREITOS;;;;1
INTERSECTIONAL ANALYSIS;;;;1
INTERSECTIONAL CHICANA;;;;1
INTERSECTIONAL CLIMATE;;;;1
INTERSECTIONAL CONVIVIALITIES;;;;1
INTERSECTIONAL DISCOURSES;;;;1
INTERSECTIONAL ECOFEMINIST;;;;1
INTERSECTIONAL ENVIRONMENTAL;;;ENVIRONMENTAL JUSTICE;1
INTERSECTIONAL EXAMINATION;;;;1
INTERSECTIONAL FEMINIST;;;;1
INTERSECTIONAL MOBILIZATION;;;;1
INTERSECTIONAL MULTILEVEL;;;;1
INTERSECTIONAL POLITICS;;;;1
INTERSECTIONAL PRAXIS;;;;1
INTERSECTIONAL READINGS;;1;;1
INTERSECTIONAL RHETORICAL;;;;1
INTERSECTIONAL SATURATION;;1;;1
INTERSECTIONAL SCIENCE;;;;1
INTERSECTIONAL SEXUALITY;;;;1
INTERSECTIONAL SOLIDARITY;;;;1
INTERSECTIONAL STRATEGIES;;;;1
INTERSECTIONALITY GENDERED;;;;1
INTERSECTIONALITY ITHE;;;;1
INTERSECTIONS REPRODUCTIVE;;;;1
INTERSEX QUEER;;;;1
INTERVENTION RHETORICALLY;;;;1
INTIMACY DESIRE;;;;1
INTIMATE PARTNER;;;;1
INTRAPARTUM CARE;;;;1
INTRAUTERINE CONTRACEPTION;;;;1
INTRODUCING TRANSCENDING;;;;1
INTRODUCTION GENDER;;;;1
INTRODUCTION LEGAL;;;;1
INTRODUCTION SECURING;;;;1
INTRODUCTION SIJ;;;;1
INTRODUCTION WEIGHING;;;;1
INTRODUCTION WOMENS;;;;1
INVENTAIRE DE;;1;;1
INVISIBLE RESPONSIBLE;;;;1
INVOLVING PREGNANT;;;;1
IPRECARIOUS LIVESI;;;;1
IRACE REPRODUCTIVE;;;;1
IRELAND CRITIQUE;;;;1
IRELAND IKELLIE;;;;1
IRELAND JUNE;;;;1
IRELANDS CAMPAIGN;;;;1
IREPRODUCTIVE JUSTICEI;;;;1
IREPRODUCTIVE TECHNOLOGIES;;;ASSISTED REPRODUCTION;1
IRISH CONTEXT;;;;1
IRISH FEMINIST;;;;1
IRISH REPEAL;;;;1
IROEI HISTORICAL;;;;1
IROEI IVI;;;;1
IROEI TEACHING;;;;1
ISASSAFRASS CYPRESS;;;;1
ISAVING DELANEYI;;;;1
ISEXI IMARRIAGEI;;;;1
ISLAMIC MEDICAL;;;;1
ISLAND CROSSING;;;;1
ISLANDER YOUTH;;;ADDRESSING TEENAGE;1
ISSUE ANALYSING;;;;1
ISSUE FRAMING;;;;1
ISSUE INTRODUCTION;;;;1
ISSUE REPRODUCTIVE;;;;1
ISSUES RESEARCH;;;;1
ISTATIONI IELEVENI;;;;1
ITALIAN LITERATURE;;;;1
ITALYS FOETUS;;;;1
ITHE HANDMAIDS;;;;1
ITHE MOVEMENT;;;;1
IUD EXPECTATIONS;;;;1
IUD INSERTION;;;;1
IUD INSERTIONS;;;;1
IUD SELF-REMOVAL;;;;1
IV LATIN;;;;1
IVF REFLECTIONS;;;;1
IVI IWADEI;;;;1
JACKSON EMPOWERING;;;;1
JAIL CARCERAL;;;ABOLITION POLITICS;1
JAMES BOND;;;;1
JANAINA QUIRINO;;;;1
JAPANESE AMERICAN;;;;1
JAPANESE WOMENS;;;;1
JEN JORDANS;;;;1
JERSEY SOCIAL;;;;1
JESMYN WARDS;;;;1
JIANS NOVE;;;;1
JOHN MANDELS;;;;1
JOIA CREAR-PERRY;;;;1
JORDANS DISSENT;;;;1
JOURNEYS STIGMA;;;;1
JUSTICE ACCOUNT;;;;1
JUSTICE ACTIVIST;;;ACTIVIST KNOWLEDGES;1
JUSTICE ADOLESCENT;;;ADDRESSING TEENAGE;1
JUSTICE ADOPTION;;;ADOPTION BELONGING;1
JUSTICE ADVENTURES;;;;1
JUSTICE AGENDA;;;ACTIVIST KNOWLEDGES;1
JUSTICE ANALYSISI;;;;1
JUSTICE ANALYZING;;;;1
JUSTICE ANTI-GENDER;;;;1
JUSTICE BIRTHRIGHT;;;;1
JUSTICE BLACK;;;BLACK LIVES;1
JUSTICE BODILY;;;;1
JUSTICE BORN;;;;1
JUSTICE CENTERING;;;;1
JUSTICE CIVIC;;;;1
JUSTICE COALITIONAL;;;;1
JUSTICE CONCERN;;;;1
JUSTICE CONCERNS;;;;1
JUSTICE DEAF;;;;1
JUSTICE DE-CONSTITUTIONALIZING;;;;1
JUSTICE DEMAND;;;;1
JUSTICE DIRECT;;;;1
JUSTICE DIRECTIONS;;;;1
JUSTICE DISCOURSE;;;;1
JUSTICE DISRUPTED;;;;1
JUSTICE DOMESTIC;;;;1
JUSTICE DOULAS;;;;1
JUSTICE EMERGENCE;;;;1
JUSTICE EXPLORING;;;;1
JUSTICE FRAMING;;;;1
JUSTICE FUTURISM;;;;1
JUSTICE GENDERED;;;;1
JUSTICE GLOBALLY;;;;1
JUSTICE HISTORY;;;;1
JUSTICE HOLDING;;;;1
JUSTICE IADVENTURES;;;;1
JUSTICE IAN;;;;1
JUSTICE IEMPOWERING;;;;1
JUSTICE ILLUMINATING;;;;1
JUSTICE INCORPORATING;;;;1
JUSTICE INDIGENOUS;;;;1
JUSTICE INEQUALITIES;;;EQUITY ADDRESSING;1
JUSTICE INFORMED;;;;1
JUSTICE INTERSECTIONS;;;;1
JUSTICE IV;;1;;1
JUSTICE JESMYN;;;;1
JUSTICE LANDSCAPE;;;;1
JUSTICE LAWYERING;;;CRIMINAL JUSTICE;1
JUSTICE LEARNING;;;;1
JUSTICE MARY;;;;1
JUSTICE MATTER;;;;1
JUSTICE MEMORIES;;;;1
JUSTICE MIGRANT;;;;1
JUSTICE MINDSET;;;;1
JUSTICE MOVING;;;;1
JUSTICE NAVIGATING;;;;1
JUSTICE NON-INTERFERENCE;;;;1
JUSTICE POLICY;;;;1
JUSTICE POPULATION;;;;1
JUSTICE PREVENTABLE;;;;1
JUSTICE PROTESTS;;;;1
JUSTICE PSYCHOLOGY;;;;1
JUSTICE PUBLIC;;;;1
JUSTICE QUEER;;;;1
JUSTICE READING;;;;1
JUSTICE RECONCEIVED;;;;1
JUSTICE RE-CONSTRUCTS;;;;1
JUSTICE REFLECTIONS;;;;1
JUSTICE REPRODUCTIVE;;;;1
JUSTICE RESPONSE;;;;1
JUSTICE REVITALISING;;;;1
JUSTICE RHETORICS;;;;1
JUSTICE SITUATED;;;;1
JUSTICE SOVEREIGNTY;;;;1
JUSTICE SPECIAL;;;;1
JUSTICE SURROGACY;;;;1
JUSTICE SYSTEMS;;;;1
JUSTICE THEORY;;;;1
JUSTICE TO-COME;;;;1
JUSTICE TOOLKIT;;;;1
JUSTICE TRAINING;;;;1
JUSTICE TRANSNATIONALLY;;;;1
JUSTICE UNMET;;;;1
JUSTICE VACCINE;;;;1
JUSTICE WOMEN;;;;1
JUSTICECARE APPROACH;;;;1
JUSTICE-CENTERED PARADIGM;;;;1
JUSTICE-FOCUSED VOLUNTEER;;;;1
JUSTICE-INFORMED ANALYSIS;;;;1
JUSTICE-INFORMED SHIFT;;;;1
JUSTICE-INVOLVED BLACK;;;;1
JUSTICE-INVOLVED LATINA;;;;1
JUSTIFYING ABORTION;;;;1
JUVENTUDE GÊNERO;CARACTER ESPECIAL;;;1
KAKUYA IMAGINING;;;;1
KANN DIE;;;;1
KAWAKAMIS BREASTS;;;;1
KEETOOWAH EXPERIENCES;;;;1
KEITH-ROACHS EGGS;;;;1
KEN LOACHS;;;;1
KEY METHODOLOGY;;1;;1
KEY QUESTIONS;;1;;1
KEY STAKEHOLDERS;;;;1
KIDS REPRODUCTIVE;;;;1
KIDSI REPRODUCTIVE;;;;1
KILL CUT;;;;1
KILLING BLACK;;;;1
KILLING DISABLED;;;;1
KIN IANDI;;;;1
KIN UTERINE;;;;1
KINDRED SPIRITS;;;;1
KINSHIP GRAMMARS;;;;1
KNOWLEDGE ATTITUDES;;;;1
KNOWLEDGE UNRAVELLING;;;;1
KNOWLEDGES DECENTERING;;;;1
KOMMUNIKATIONSMATRIXVON GUNTHER;;;;1
KONGS ANTI-ELAB;;;;1
LA CANTONADA;;;;1
LA MATERNITÉ;CARACTER ESPECIAL;;REPRODUCTIVE HEALTH;1
LA QUEER;;;;1
LABOR REPRODUCTIVE;;;;1
LABOUR DALIT;;;;1
LABOUR PAIN;;;;1
LADY NORMATIVE;;;;1
LAESTADIAN DESIRE;;;;1
LAESTADIAN WOMEN;;;;1
LAESTADIANS BIRTH;;;;1
LANDSCAPE CHICANA;;;;1
LARC REMOVAL;;;;1
LARCS BOONS;;;;1
LARGER CULTURAL;;;;1
LARISSA LAIS;;;;1
LAS KELLYS;;;;1
LATINAO TEENAGE;;;;1
LATINAS SEXUAL;;;;1
LATINAX FEMINIST;;;;1
LATINO COMMUNITY;;;;1
LATINX ADOLESCENTS;;;;1
LATINX FEMINIST;;;;1
LATINX WOMEN;;;;1
LAW ACTIVISM;;;CRIMINAL JUSTICE;1
LAW PRACTICE-LED;;;CRIMINAL JUSTICE;1
LAW RACE;;;CRIMINAL JUSTICE;1
LAWFUL SINNERS;;;;1
LAWI INTRODUCTION;;;CRIMINAL JUSTICE;1
LAWS PERPETUATE;;;CRIMINAL JUSTICE;1
LAWS RESTRICTING;;;CRIMINAL JUSTICE;1
LBTQ PARENTS;;;;1
LEAD CRISIS;;;;1
LEADERSHIP SUCCESSION;;;;1
LEARNING GUIDE;;;;1
LEARNING OUTCOMES;;;;1
LEGAL AMBIVALENCE;;;;1
LEGAL FRAMEWORK;;;;1
LEGAL PATRIARCHY;;;;1
LEGAL PLURALISM;;;;1
LEGAL RECOMMENDATIONS;;;;1
LEGAL SAFE;;;;1
LEGAL STATUS;;;;1
LEGAL STORIES;;;;1
LEGALLY RECOGNIZING;;;;1
LEGAL-SOCIAL ISSUES;;;;1
LEISURE SURFEMINISM;;;;1
LESBIAN THEORIZATIONS;;;;1
LESSONS BLACK;;;;1
LGBTQ WOMEN;;;;1
LGBTQI SEXUAL;;;;1
LIBERAL APPROACHES;;;;1
LIBERATE BLACK;;;;1
LIBERATION REPRODUCTIVE;;;;1
LIBERATION THEOLOGY;;;;1
LIFE CONTEXTS;;;;1
LIFE FORMATIVE;;;;1
LIFE GOALS;;;;1
LIFE HARDER;;;;1
LIFE PLANNING;;;;1
LIMIT ABORTION;;;;1
LIMITING ACCESS;;;;1
LING MAS;;;;1
LIST IETHICAL;;;ETHICAL ISSUES;1
LITERARY REPRESENTATIONS;;;;1
LITERATURE CLASSROOM;;;;1
LIVES GOVERNMENT;;;;1
LIVES MATTER;;;;1
LIVESI FORCED;;;;1
LIVING CRISIS;;;;1
LIVING FACILITIES;;;;1
LIVING GOD;;;;1
LIVING SURVIVORS;;;;1
LMICS UNNECESSARY;;;;1
LOACHS SOCIAL;;;;1
LOBBY STORES;;;;1
LOCAL NEWS;;;;1
LOCATING LARC;;;;1
LONG-TERM CARE;;;;1
LONG-TERM DEVELOPMENT;;;;1
LONGUE DURÉE;CARACTER ESPECIAL;;;1
LOOMERS IROEI;;;;1
LOOMERS ROE;;;;1
LORETTA ROSS;;;;1
LOSING MANHOOD;;;;1
LOUISE ERDRICHS;;;;1
LOUISIANAS MEDICALLY;;;;1
LOW-COST IVF;;;;1
LOWER QUALITY;;;;1
LOWER-DIVISION LITERATURE;;;;1
LTHE DARK;;;;1
MA JIANS;;;;1
MACHINE BLACK;;;;1
MACHINE REPRODUCTIVE;;;;1
MAD RESISTING;;;;1
MAGIC BULLET;;;;1
MAHASWETA DEVIS;;;;1
MAINTAIN REPRODUCTIVE;;;;1
MALIGN NEGLECT;;;;1
MALLADIS IA;;;;1
MAMAS MATTER;;;;1
MANAGEMENT MODES;;;;1
MANAGING IUD;;;;1
MANAGING PRECARITY;;;;1
MANDATED INSURANCE;;;;1
MANDATORY WAITING;;;;1
MANDELS ISTATIONI;;;;1
MANUAL ENVIRONMENTAL;;;ENVIRONMENTAL JUSTICE;1
MAORI REPRODUCTIVE;;;;1
MAORI VISIBLE;;;;1
MAPPING LEGAL;;;;1
MARCH NA;;;;1
MARGARET ATWOODS;;;;1
MARGINALIZED BLACK;;;BLACK LIVES;1
MARY CALDERONE;;;;1
MARY WOLLSTONECRAFT;;;;1
MAS ISEVERANCEI;;;;1
MATCHING BLACK;;;BLACK LIVES;1
MATERNAL HEALTHCARE;;;REPRODUCTIVE HEALTH;1
MATERNAL HEALTH-CARE;;;REPRODUCTIVE HEALTH;1
MATERNAL IDEALIST;;;;1
MATERNAL MORBIDITYMORTALITY;;;REPRODUCTIVE HEALTH;1
MATERNAL VULNERABILITY;;;REPRODUCTIVE HEALTH;1
MATERNAL-CHILD WELL-BEING;;;REPRODUCTIVE HEALTH;1
MATERNIDADE REVISÃO;;;REPRODUCTIVE HEALTH;1
MATERNITÉ DE;CARACTER ESPECIAL;;REPRODUCTIVE HEALTH;1
MATERNITY REPRODUCTIVE;;;REPRODUCTIVE HEALTH;1
MATERNITY RESIDENCES;;;;1
MATERNO PERINATALES;;;REPRODUCTIVE HEALTH;1
MATTER DEVELOPING;;;;1
MATTER EXPLORING;;;;1
MATTERS ALIGNING;;;;1
MAUD DROMGOOLES;;;;1
MAYDAY RETHINKING;;;;1
MAZE MIDWIVES;;;;1
MCGOVERN REFORMING;;;;1
MEANS FIGHTING;;;;1
MEASURING FERTILITY;;;;1
MEDIA ARTS;;;ART-BASED APPROACH;1
MEDIA ERA;;;;1
MEDIA FRAMING;;;;1
MEDIA INTERVENTION;;;;1
MEDICAID COVERAGE;;;;1
MEDICAID POSTPARTUM;;;REPRODUCTIVE HEALTH;1
MEDICAID REGULATION;;;HEALTH CARE;1
MEDICAID-INSURED WOMENS;;;HEALTH CARE;1
MEDICAL ADVICE;;;HEALTH CARE;1
MEDICAL ANTHROPOLOGY;;;;1
MEDICAL ETHICS;;;ETHICAL ISSUES;1
MEDICAL FAMILY;;;;1
MEDICAL FORENSIC;;;HEALTH CARE;1
MEDICAL OPTIONS;;;HEALTH CARE;1
MEDICAL SCHOOLS;;;;1
MEDICAL STANDARDS;;;HEALTH CARE;1
MEDICAL TERMINATION;;;HEALTH CARE;1
MEDICALISATION DEPOLITICISATION;;;HEALTH CARE;1
MEDICAL-LEGAL PARTNERSHIP;;;MEDICAL-LEGAL PARTNERSHIP;1
MEDICAL-LEGAL PARTNERSHIPS;;;MEDICAL-LEGAL PARTNERSHIP;1
MEDICALLY FUTILE;;;HEALTH CARE;1
MEDICINE BIRTH;;;HEALTH CARE;1
MEDICINE CLINICAL;;;HEALTH CARE;1
MEDICINE PHYSICIANS;;;HEALTH CARE;1
MEDICINE POLICY;;;HEALTH CARE;1
MEET MISSISSIPPIS;;;;1
MEETS CAUTION;;;;1
MEMORIES MISTAKES;;;;1
MEMORY CONTEMPORARY;;;;1
MENSTRUAL CONCEALMENT-YOU;;;;1
MENSTRUAL CYCLE;;;;1
MENSTRUATION PREFACE;;;;1
MENTAL ILLNESS;;;;1
METHODIST WOMEN;;;;1
METHODOLOGICAL ASPECTS;;1;METHODOLOGICAL ASPECTS;1
METHODOLOGY ASPECTS;;1;METHODOLOGICAL ASPECTS;1
METHODS ANALYSIS;;1;;1
MEXICAN IMMIGRANTS;;;;1
MEXICO-US BORDER;;;;1
MIDDLE CLASS;;;;1
MIDDLE PASSAGE;;;;1
MIDDLE-CLASS BLACK;;;;1
MIDDLE-INCOME COUNTRIES;;;;1
MIDWEST EMERGENT;;;;1
MIDWIFERY CARE;;;;1
MIDWIFERY ETHICS;;;ETHICAL ISSUES;1
MIDWIFERY FEMINISM;;;;1
MIDWIFERY RELATIONALITY;;;;1
MIDWIFERY ROLE;;;;1
MIDWIVES CARING;;;;1
MIDWIVES CLARIFY;;;;1
MIDWIVES IDENTITY;;;;1
MIDWIVES SAFEGUARDING;;;;1
MIEKO KAWAKAMIS;;;;1
MIFEPRISTONE REMS;;;;1
MIGRANT EXTRACTABILITY;;;;1
MIGRANT JUSTICE;;;;1
MIGRANT LABOUR;;;;1
MIGRANT LATINAS;;;;1
MIGRANT RIGHTS;;;;1
MILITANT PARTICULARISM;;;;1
MILK DONATION;;;;1
MILK MONEY;;;;1
MILK-EXPRESSION TECHNOLOGIES;;;;1
MILLENNIUM DEVELOPMENT;;;;1
MILLERSTON CONCLUSION;;;;1
MILLSS BLACK;;;;1
MILWAUKEE LEAD;;;;1
MILWAUKEES RACIAL;;;;1
MINIMUM ABORTION;;;ABORTION STUDY;1
MINORITY HEALTH;;;;1
MIS REPRESENTATION;;;;1
MISCARRIAGE STIGMA;;;;1
MISCONCEPTION FATIGUE;;;;1
MISOGYNY SURVIVES;;;;1
