"SR";"TI";"TI_TM"
"ROSS LJ, 2017, Black WOMEN'S Lib. Pedagog. Resist. Transform. Heal. WITHIN Beyond Acad.";"TEACHING REPRODUCTIVE JUSTICE: AN ACTIVIST'S APPROACH";"TEACHING REPRODUCTIVE;REPRODUCTIVE JUSTICE;ACTIVISTS APPROACH"
"ROSS LJ, 2017, REPRODUCTIVE JUSTICE: AN INTRODUCTION";"A REPRODUCTIVE JUSTICE HISTORY";"REPRODUCTIVE JUSTICE;JUSTICE HISTORY"
"ROSS LJ, 2017, REPRODUCTIVE JUSTICE: AN INTRODUCTION-a";"REPRODUCTIVE JUSTICE IN THE TWENTY-FIRST CENTURY";"REPRODUCTIVE JUSTICE;TWENTY-FIRST CENTURY"
"ROSS LJ, 2017, REPRODUCTIVE JUSTICE: AN INTRODUCTION-a-b";"<I>REPRODUCTIVE JUSTICE ON THE GROUND</I> EPILOGUE";"IREPRODUCTIVE JUSTICE;GROUNDI EPILOGUE"
"ROSS LJ, 2017, SOULS";"REPRODUCTIVE JUSTICE AS INTERSECTIONAL FEMINIST ACTIVISM";"REPRODUCTIVE JUSTICE;INTERSECTIONAL FEMINIST;FEMINIST ACTIVISM"
"ROSS LJ, 2024, Fight. MAD: Resist. END ROE V WADE";"REPRODUCTIVE JUSTICE FUTURISM: TRUST BLACK WOMEN";"REPRODUCTIVE JUSTICE;JUSTICE FUTURISM;FUTURISM TRUST;TRUST BLACK;BLACK WOMEN"
"ROSSITER A, 2022, DECRIMINALIZING Abort. North. IRELAND: ALLIES Abort. Provis.";"FROM THE UNDERGROUND TO THE AVANT-GARDE: A CONVERSATION ON CONTRIBUTIONS OF THE IRISH FEMINIST DIASPORA TO REPRODUCTIVE JUSTICE IN NI";"IRISH FEMINIST;FEMINIST DIASPORA;REPRODUCTIVE JUSTICE"
"ROTH C, 2023, FRONT PUBLIC HEALTH";"ABORTION ACCESS IN THE AMERICAS: A HEMISPHERIC AND HISTORICAL APPROACH";"ABORTION ACCESS;HISTORICAL APPROACH"
"ROTH LM, 2023, J HEALTH POLIT POLICY LAW";"UNDUE BURDENS: STATE ABORTION LAWS IN THE UNITED STATES, 1994-2022";"UNDUE BURDENS;ABORTION LAWS"
"ROTH S, 2021, SOCIOL COMPASS";"INTERSECTIONALITY AND COALITIONS IN SOCIAL MOVEMENT RESEARCH-A SURVEY AND OUTLOOK";"SOCIAL MOVEMENT;MOVEMENT RESEARCH-A;RESEARCH-A SURVEY"
"ROTHSCHILD J, 2023, INT J GYNECOL OBSTET";"WOMEN'S MENTAL HEALTH AND CLIMATE CHANGE PART II: SOCIOECONOMIC STRESSES OF CLIMATE CHANGE AND ECO-ANXIETY FOR WOMEN AND THEIR CHILDREN";"WOMENS MENTAL;MENTAL HEALTH;CLIMATE CHANGE;II SOCIOECONOMIC;SOCIOECONOMIC STRESSES;CLIMATE CHANGE"
"ROVAK A, 2019, TULSA STUD WOMEN LIT";"SPECULATIVE BLACK MATERNITY: FRAN ROSS'S <I>OREO</I> AND NTOZAKE SHANGE'S <I>SASSAFRASS, CYPRESS AND INDIGO</I>";"SPECULATIVE BLACK;BLACK MATERNITY;MATERNITY FRAN;FRAN ROSSS;ROSSS IOREOI;NTOZAKE SHANGES;SHANGES ISASSAFRASS;ISASSAFRASS CYPRESS"
"ROVAK A, 2019, Tulsa Stud. WOMENS Lit.";"SPECULATIVE BLACK MATERNITY: FRAN ROSS'S OREO AND NTOZAKE SHANGE'S SASSAFRASS, CYPRESS AND INDIGO";"SPECULATIVE BLACK;BLACK MATERNITY;MATERNITY FRAN;FRAN ROSSS;ROSSS OREO;NTOZAKE SHANGES;SHANGES SASSAFRASS;SASSAFRASS CYPRESS"
"ROWLEY DL, 2023, MATERN CHILD HEALTH J";"ROAD TO EQUITY IN MATERNAL AND CHILD HEALTH: HONORING THE PAST AND BLAZING NEW PATHS";"CHILD HEALTH;HEALTH HONORING"
"ROWLEY S, 2023, J PEDIATR ADOLESC GYNECOL";"RACIAL INEQUITIES IN ADOLESCENT CONTRACEPTIVE CARE DELIVERY: A REPRODUCTIVE JUSTICE ISSUE";"RACIAL INEQUITIES;ADOLESCENT CONTRACEPTIVE;CONTRACEPTIVE CARE;CARE DELIVERY;REPRODUCTIVE JUSTICE;JUSTICE ISSUE"
"ROY M, 2022, PALGRAVE Handb. Reprod. Justice Lit.";"“GIVE ME CHILDREN, OR ELSE I DIE”: BABY-HUNGER, SURROGACY, AND FAMILY-MAKING BY ANY MEANS NECESSARY";"DIE BABY-HUNGER;BABY-HUNGER SURROGACY"
"ROYER PA, 2020, QUAL HEALTH RES";"``IN AFRICA, THERE WAS NO FAMILY PLANNING. EVERY YEAR YOU JUST GIVE BIRTH'': FAMILY PLANNING KNOWLEDGE, ATTITUDES, AND PRACTICES AMONG SOMALI AND CONGOLESE REFUGEE WOMEN AFTER RESETTLEMENT TO THE UNITED STATES";"FAMILY PLANNING;BIRTH FAMILY;FAMILY PLANNING;PLANNING KNOWLEDGE;KNOWLEDGE ATTITUDES;CONGOLESE REFUGEE;REFUGEE WOMEN"
"ROZEE V, 2024, REPROD HEALTH";"REFLECTING SEX, SOCIAL CLASS AND RACE INEQUALITIES IN REPRODUCTION? STUDY OF THE GENDER REPRESENTATIONS CONVEYED BY 38 FERTILITY CENTRE WEBSITES IN 8 EUROPEAN COUNTRIES";"REFLECTING SEX;SEX SOCIAL;SOCIAL CLASS;RACE INEQUALITIES;REPRODUCTION STUDY;GENDER REPRESENTATIONS;REPRESENTATIONS CONVEYED;FERTILITY CENTRE;CENTRE WEBSITES;EUROPEAN COUNTRIES"
"RUBIN LR, 2012, Reprod. JUSTICE: Glob. Concern";"INFERTILITY AND ASSISTED REPRODUCTIVE TECHNOLOGIES: MATTERS OF REPRODUCTIVE JUSTICE";"ASSISTED REPRODUCTIVE;REPRODUCTIVE TECHNOLOGIES;TECHNOLOGIES MATTERS;REPRODUCTIVE JUSTICE"
"RUDRAPPA S, 2021, CURR SOCIOL";"THE IMPOSSIBILITY OF GENDERED JUSTICE THROUGH SURROGACY BANS";"GENDERED JUSTICE;SURROGACY BANS"
"RUDRAPPA S, 2024, CRIT SOCIOL";"NO REPRODUCTIVE JUSTICE WITH NO CEASEFIRE IN PALESTINE";"REPRODUCTIVE JUSTICE"
"RUDRUM S, 2023, CAN J SOCIOL-CAHIERS CAN SOCIOL";"STUDENT ENCOUNTERS WITH A CAMPUS CRISIS PREGNANCY CENTRE: CHOICE, RE - PRODUCTIVE JUSTICE AND SEXUAL AND RE- PRODUCTIVE HEALTH SUPPORTS";"STUDENT ENCOUNTERS;CAMPUS CRISIS;CRISIS PREGNANCY;PREGNANCY CENTRE;CENTRE CHOICE;PRODUCTIVE JUSTICE;RE- PRODUCTIVE;PRODUCTIVE HEALTH;HEALTH SUPPORTS"
"RUDRUM S, 2023, Can. J. Sociol.";"STUDENT ENCOUNTERS WITH A CAMPUS CRISIS PREGNANCY CENTRE: CHOICE, REPRODUCTIVE JUSTICE AND SEXUAL AND REPRODUCTIVE HEALTH SUPPORTS";"STUDENT ENCOUNTERS;CAMPUS CRISIS;CRISIS PREGNANCY;PREGNANCY CENTRE;CENTRE CHOICE;CHOICE REPRODUCTIVE;REPRODUCTIVE JUSTICE;REPRODUCTIVE HEALTH;HEALTH SUPPORTS"
"RUSATIRA JC, 2020, AAS OPEN Res.";"FAMILY PLANNING SCIENCE AND PRACTICE LESSONS FROM THE 2018 INTERNATIONAL CONFERENCE ON FAMILY PLANNING";"FAMILY PLANNING;PLANNING SCIENCE;PRACTICE LESSONS;INTERNATIONAL CONFERENCE;FAMILY PLANNING"
"RUSSELL C, 2018, Reprod. Biomed. Soc. Online";"RIGHTS-HOLDERS OR REFUGEES? DO GAY MEN NEED REPRODUCTIVE JUSTICE?";"REPRODUCTIVE JUSTICE"
"RUSSO NF, 2012, Reprod. JUSTICE: Glob. Concern";"CONTRACEPTION AND ABORTION: CRITICAL TOOLS FOR ACHIEVING REPRODUCTIVE JUSTICE";"ABORTION CRITICAL;CRITICAL TOOLS;ACHIEVING REPRODUCTIVE;REPRODUCTIVE JUSTICE"
"RUTHERFORD P, 2022, PALGRAVE Handb. Reprod. Justice Lit.";"PREGNANCY SELF-HELP LITERATURE AS DISEMBODIMENT: AN ISSUE OF REPRODUCTIVE JUSTICE";"PREGNANCY SELF-HELP;SELF-HELP LITERATURE;REPRODUCTIVE JUSTICE"
"RYBKA 2023 SAÚDE E SOCIEDADE";"Morte e vida no debate sobre aborto: uma análise a partir da audiência pública sobre a ADPF 442 aborto 44 4";"DEBATE SOBRE;SOBRE ABORTO;ABORTO UMA;UMA ANÁLISE;PARTIR DA;DA AUDIÊNCIA;AUDIÊNCIA PÚBLICA;PÚBLICA SOBRE;ADPF ABORTO"
"RYBKA LN, 2023, SAUDE SOC";"DEATH AND LIFE IN THE ABORTION DEBATE: AN ANALYSIS BASED ON THE PUBLIC HEARING ON ADPF 442";"ABORTION DEBATE;ANALYSIS BASED;PUBLIC HEARING"
"RYBKA LN, 2023, SAUDE SOC-a";"DEATH AND LIFE IN THE ABORTION DEBATE: AN ANALYSIS BASED ON THE PUBLIC HEARING ON ADPF 4421";"ABORTION DEBATE;ANALYSIS BASED;PUBLIC HEARING"
"SAGRESTANO LM, 2012, Reprod. JUSTICE: Glob. Concern";"PREGNANCY AND PRENATAL CARE: A REPRODUCTIVE JUSTICE PERSPECTIVE";"PRENATAL CARE;REPRODUCTIVE JUSTICE;JUSTICE PERSPECTIVE"
"SALTER CL, 2021, VIOLENCE AGAINST WOMEN";"NAMING SILENCE AND INADEQUATE OBSTETRIC CARE AS OBSTETRIC VIOLENCE IS A NECESSARY STEP FOR CHANGE";"NAMING SILENCE;INADEQUATE OBSTETRIC;OBSTETRIC CARE;OBSTETRIC VIOLENCE"
"SALUK S, 2023, J MIDDLE EAST WOMENS STUD";"`` MY BODY, MY DECISION! `` ABORTION, BODILY AUTONOMY, AND REPRODUCTIVE RIGHTS ACTIVISM IN TURKEY";"DECISION ABORTION;ABORTION BODILY;BODILY AUTONOMY;REPRODUCTIVE RIGHTS;RIGHTS ACTIVISM"
"SAMARASEKERA U, 2021, Lancet";"JOIA CREAR-PERRY: COLLABORATING FOR RACIAL AND REPRODUCTIVE JUSTICE";"JOIA CREAR-PERRY;CREAR-PERRY COLLABORATING;REPRODUCTIVE JUSTICE"
"SAMARASEKERA U, 2024, LANCET";"TERRY MCGOVERN: REFORMING SEXUAL AND REPRODUCTIVE JUSTICE TRAINING";"TERRY MCGOVERN;MCGOVERN REFORMING;REFORMING SEXUAL;REPRODUCTIVE JUSTICE;JUSTICE TRAINING"
"SAMUELS-KALOW ME, 2022, ACAD EMERG MED";"POST-ROE EMERGENCY MEDICINE: POLICY, CLINICAL, TRAINING, AND INDIVIDUAL IMPLICATIONS FOR EMERGENCY CLINICIANS";"POST-ROE EMERGENCY;EMERGENCY MEDICINE;MEDICINE POLICY;POLICY CLINICAL;CLINICAL TRAINING;INDIVIDUAL IMPLICATIONS;EMERGENCY CLINICIANS"
"SANCHEZ-RIVERA R, 2023, SOCIOL HEALTH ILL";"FROM PREVENTIVE EUGENICS TO SLIPPERY EUGENICS: POPULATION CONTROL AND CONTEMPORARY STERILISATIONS TARGETED TO INDIGENOUS PEOPLES IN MEXICO";"PREVENTIVE EUGENICS;SLIPPERY EUGENICS;EUGENICS POPULATION;POPULATION CONTROL;CONTEMPORARY STERILISATIONS;STERILISATIONS TARGETED;INDIGENOUS PEOPLES"
"SANTOS TMA, 2020, Adv. Fam. Pract. Nurs.";"HYPERTENSIVE DISORDERS IN PREGNANCY: IMPLICATIONS FOR PRIMARY CARE";"HYPERTENSIVE DISORDERS;PREGNANCY IMPLICATIONS;PRIMARY CARE"
"SARAVANAN S, 2018, Transnatl. Fem. VIEW SURROGACY BIOMARKETS India";"A TRANSNATIONAL FEMINIST VIEW OF SURROGACY BIOMARKETS IN INDIA";"TRANSNATIONAL FEMINIST;FEMINIST VIEW;SURROGACY BIOMARKETS"
"SARKAR S, 2022, PALGRAVE Handb. Reprod. Justice Lit.";"REPRODUCTIVE EXPERIENCES OF POOR MOTHERS IN INDIA: AN ANALYSIS OF YOUTUBE DOCUMENTARIES";"REPRODUCTIVE EXPERIENCES;POOR MOTHERS;YOUTUBE DOCUMENTARIES"
"SASSER JS, 2018, ON INFERTILE GROUND: POPULATION CONTROL AND WOMEN'S RIGHTS IN THE ERA OF CLIMATE CHANGE";"CO--OPTING REPRODUCTIVE JUSTICE";"CO--OPTING REPRODUCTIVE;REPRODUCTIVE JUSTICE"
"SASSER JS, 2024, WILEY INTERDISCIP REV-CLIM CHANG";"AT THE INTERSECTION OF CLIMATE JUSTICE AND REPRODUCTIVE JUSTICE";"CLIMATE JUSTICE;REPRODUCTIVE JUSTICE"
"SAUNDERS K, 2024, CULT HEALTH SEX";"TAKING MATTERS INTO OUR OWN HANDS? HIERARCHIES OF POWER AND KNOWLEDGE IN ONLINE FRAMINGS OF IUD SELF-REMOVAL";"TAKING MATTERS;HANDS HIERARCHIES;ONLINE FRAMINGS;IUD SELF-REMOVAL"
"SCHAAB K, 2022, WOMEN STUD-INTERDISC J";"MISOGYNY SURVIVES THE APOCALYPSE: THE COLLAPSE OF REPRODUCTIVE JUSTICE IN EMILY ST. JOHN MANDEL'S <I>STATION</I> <I>ELEVEN</I> AND LING MA'S <I>SEVERANCE</I>";"MISOGYNY SURVIVES;REPRODUCTIVE JUSTICE;EMILY ST;ST JOHN;JOHN MANDELS;MANDELS ISTATIONI;ISTATIONI IELEVENI;LING MAS;MAS ISEVERANCEI"
"SCHIVONE GB, 2017, CURR OPIN OBSTET GYNECOL";"CONTRACEPTIVE COUNSELING FOR CONTINUATION AND SATISFACTION";"CONTRACEPTIVE COUNSELING"
"SCHMID AT, 2023, CULT HEALTH SEX";"A PRESS(ING) ISSUE: ANALYSING LOCAL NEWS COVERAGE OF ABORTION IN THE US SOUTH DURING THE COVID-19 PANDEMIC";"PRESSING ISSUE;ISSUE ANALYSING;ANALYSING LOCAL;LOCAL NEWS;NEWS COVERAGE;COVID- PANDEMIC"
"SCHMID S, 2024, INT J FEM APPROACHES BIOETH";"WHY ALL US MEDICAL SCHOOLS HAVE A MORAL OBLIGATION TO PROVIDE ABORTION TRAINING TO THEIR INTERESTED STUDENTS: A NECESSARY RESPONSE TO <I>DOBBS</I>";"MEDICAL SCHOOLS;MORAL OBLIGATION;PROVIDE ABORTION;ABORTION TRAINING"
"SCHOLLAERT J, 2022, PALGRAVE Handb. Reprod. Justice Lit.";"CULTIVATING ACCESS, CULTIVATING IGNORANCE: A SURVEY OF HERBAL ABORTIFACIENTS IN AMERICAN FICTION";"CULTIVATING ACCESS;ACCESS CULTIVATING;CULTIVATING IGNORANCE;HERBAL ABORTIFACIENTS;AMERICAN FICTION"
"SCHOLZ S, 2021, J RELIG ETHICS";"DISMANTLING THE PHALLIC ECONOMY WITH A HERMENEUTICS OF REPRODUCTIVE JUSTICE A RECONSIDERATION OF THE SOTAH IN NUMBERS 5:11-31";"PHALLIC ECONOMY;REPRODUCTIVE JUSTICE"
"SCHOTT S, 2024, AM J BIOETH";"WHAT BIOETHICS OWES REPRODUCTIVE JUSTICE";"BIOETHICS OWES;OWES REPRODUCTIVE;REPRODUCTIVE JUSTICE"
"SCHOTT SL, 2023, FRONT PUBLIC HEALTH";"RENEWED CALLS FOR ABORTION-RELATED RESEARCH IN THE POST-ROE ERA";"RENEWED CALLS;ABORTION-RELATED RESEARCH;POST-ROE ERA"
"SCHOTTEN CH, 2022, TSQ-TRANSGENDER STUD Q";"TERFISM, ZIONISM, AND RIGHT-WING ANNIHILATIONISM TOWARD AN INTERNATIONALIST GENEALOGY OF EXTINCTION PHOBIA";"TERFISM ZIONISM;RIGHT-WING ANNIHILATIONISM;INTERNATIONALIST GENEALOGY;EXTINCTION PHOBIA"
"SCHULTZ S, 2021, AUST FEM STUD";"THE NEO-MALTHUSIAN REFLEX IN CLIMATE POLITICS: TECHNOCRATIC, RIGHT WING AND FEMINIST REFERENCES";"NEO-MALTHUSIAN REFLEX;CLIMATE POLITICS;POLITICS TECHNOCRATIC;FEMINIST REFERENCES"
"SCHULTZ S, 2023, REPRODUCTIVE RACISM: MIGRATION, BIRTH CONTROL AND THE SPECTER OF POPULATION";"INTERSECTIONAL CONVIVIALITIES: BRAZILIAN BLACK AND POPULAR FEMINIST APPROACHES TO THE <I>JUSTICA REPRODUTIVA</I> FRAMEWORK";"INTERSECTIONAL CONVIVIALITIES;CONVIVIALITIES BRAZILIAN;BRAZILIAN BLACK;POPULAR FEMINIST;FEMINIST APPROACHES;IJUSTICA REPRODUTIVAI;REPRODUTIVAI FRAMEWORK"
"SCHWARTZ-DUPRE RL, 2024, CULT STUD-CRIT METHODOLOGIES";"RELOCATING REPRODUCTIVE JUSTICE IN DONOR SPERM AND EGG CAPITALISM";"RELOCATING REPRODUCTIVE;REPRODUCTIVE JUSTICE;DONOR SPERM;EGG CAPITALISM"
"SCHWARZ EB, 2022, J GEN INTERN MED";"COMPARATIVE EFFECTIVENESS AND SAFETY OF INTRAUTERINE CONTRACEPTION AND TUBAL LIGATION";"COMPARATIVE EFFECTIVENESS;INTRAUTERINE CONTRACEPTION;TUBAL LIGATION"
"SCOTT KA, 2020, HEALTH EQUITY";"FIRST, DO NO HARM: WHY PHILANTHROPY NEEDS TO RE-EXAMINE ITS ROLE IN REPRODUCTIVE EQUITY AND RACIAL JUSTICE";"REPRODUCTIVE EQUITY;RACIAL JUSTICE"
"SEALY-JEFFERSON S, 2024, AM J EPIDEMIOL";"NEIGHBORHOOD EVICTION TRAJECTORIES AND ODDS OF MODERATE AND SERIOUS PSYCHOLOGICAL DISTRESS DURING PREGNANCY AMONG AFRICAN AMERICAN WOMEN";"NEIGHBORHOOD EVICTION;EVICTION TRAJECTORIES;PSYCHOLOGICAL DISTRESS;AFRICAN AMERICAN;AMERICAN WOMEN"
"SEARCY JJ, 2024, STUD COMP INT DEV";"STRATEGIC ADVOCACY: DOULA CARE, LIMINALITY, AND REPRODUCTIVE JUSTICE";"STRATEGIC ADVOCACY;ADVOCACY DOULA;DOULA CARE;CARE LIMINALITY;REPRODUCTIVE JUSTICE"
"SEETHALER IC, 2022, PALGRAVE Handb. Reprod. Justice Lit.";"REPRODUCTIVE JUSTICE IN UNDOCUMENTED WOMEN’S MEMOIRS";"REPRODUCTIVE JUSTICE;UNDOCUMENTED WOMENS;WOMENS MEMOIRS"
"SELBERG R, 2023, Struggl. Reprod. Justice ERA ANTI-GENDERISM Relig. Fundam.";"STRUGGLES FOR REPRODUCTIVE JUSTICE IN THE ERA OF ANTI-GENDERISM AND RELIGIOUS FUNDAMENTALISM";"REPRODUCTIVE JUSTICE;RELIGIOUS FUNDAMENTALISM"
"SELBERG R, 2023, Struggl. Reprod. Justice ERA ANTI-GENDERISM Relig. Fundam.-a";"INTRODUCTION: REPRODUCTIVE JUSTICE AND TRANSNATIONAL FEMINISM";"INTRODUCTION REPRODUCTIVE;REPRODUCTIVE JUSTICE;TRANSNATIONAL FEMINISM"
"SETHNA C, 2020, WOMEN STUD INT FORUM";"``NOT AN INSTRUCTION MANUAL'': ENVIRONMENTAL DEGRADATION, RACIAL ERASURE, AND THE POLITICS OF ABORTION IN <I>THE HANDMAID'S TALE</I> (1985)";"INSTRUCTION MANUAL;MANUAL ENVIRONMENTAL;ENVIRONMENTAL DEGRADATION;DEGRADATION RACIAL;RACIAL ERASURE;ITHE HANDMAIDS;HANDMAIDS TALEI"
"SHADE LR, 2024, J GEND STUD";"WHAT HATH DOBBS WROUGHT? ABORTION ACTIVISM IN PRECARIOUS AND PUNITIVE TIMES";"HATH DOBBS;DOBBS WROUGHT;WROUGHT ABORTION;ABORTION ACTIVISM;PUNITIVE TIMES"
"SHAH S, 2022, HEALTH PLACE";"THE OTHER SIDE OF THE STORY: INTENDED PARENTS' SURROGACY JOURNEYS, STIGMA AND RELATIONAL REPRODUCTIVE JUSTICE";"STORY INTENDED;INTENDED PARENTS;PARENTS SURROGACY;SURROGACY JOURNEYS;JOURNEYS STIGMA;RELATIONAL REPRODUCTIVE;REPRODUCTIVE JUSTICE"
"SHANKAR M, 2021, J GEN INTERN MED";"TRUE CHOICE IN REPRODUCTIVE CARE: USING CULTURAL HUMILITY AND EXPLANATORY MODELS TO SUPPORT REPRODUCTIVE JUSTICE IN PRIMARY CARE";"TRUE CHOICE;REPRODUCTIVE CARE;CULTURAL HUMILITY;EXPLANATORY MODELS;SUPPORT REPRODUCTIVE;REPRODUCTIVE JUSTICE;PRIMARY CARE"
"SHAPIRO MP, 2022, BMC PREGNANCY CHILDBIRTH";"BREASTFEEDING AND CONTRACEPTION COUNSELING: A QUALITATIVE STUDY";"CONTRACEPTION COUNSELING;QUALITATIVE STUDY"
"SHAW J, 2013, STUD SOC JUSTICE";"FULL-SPECTRUM REPRODUCTIVE JUSTICE: THE AFFINITY OF ABORTION RIGHTS AND BIRTH ACTIVISM";"FULL-SPECTRUM REPRODUCTIVE;REPRODUCTIVE JUSTICE;ABORTION RIGHTS;BIRTH ACTIVISM"
"SHAW RM, 2023, AOTEAROA N Z SOC WORK";"BARRIERS TO ACCESSING ASSISTED REPRODUCTION FOR DIVERSE AND MINORITY GROUPS IN AOTEAROA NEW ZEALAND: FINDINGS FROM A QUALITATIVE STUDY";"ACCESSING ASSISTED;ASSISTED REPRODUCTION;ZEALAND FINDINGS;QUALITATIVE STUDY"
"SHERLOCK L, 2016, Abort. Pap. IRELAND: Vol. 2";"TOWARDS A REPRODUCTIVE JUSTICE MODEL IN IRELAND";"REPRODUCTIVE JUSTICE;JUSTICE MODEL"
"SHLAFER RJ, 2019, INFANT MENT HEALTH J";"REPRODUCTIVE JUSTICE FOR INCARCERATED MOTHERS AND ADVOCACY FOR THEIR INFANTS AND YOUNG CHILDREN";"REPRODUCTIVE JUSTICE;INCARCERATED MOTHERS"
"SHLAFER RJ, 2022, WOMENS HEALTH";"JUSTICE FOR INCARCERATED MOMS ACT OF 2021: REFLECTIONS AND RECOMMENDATIONS";"INCARCERATED MOMS;MOMS ACT"
"SHOTWELL A, 2013, INT J FEM APPROACHES BIOETH";"ASPIRATIONAL SOLIDARITY AS BIOETHICAL NORM: THE CASE OF REPRODUCTIVE JUSTICE";"ASPIRATIONAL SOLIDARITY;BIOETHICAL NORM;REPRODUCTIVE JUSTICE"
"SHUBKIN CD, 2024, ACAD PEDIATR";"TRANSFORMING PEDIATRIC EDUCATION IN RESPONSE TO DOBBS V. JACKSON: EMPOWERING ADOLESCENTS TO MANAGE THEIR REPRODUCTIVE CHOICES";"TRANSFORMING PEDIATRIC;PEDIATRIC EDUCATION;JACKSON EMPOWERING;EMPOWERING ADOLESCENTS;REPRODUCTIVE CHOICES"
"SIDE K, 2020, FEM REV";"ABORTION IM/MOBILITY: SPATIAL CONSEQUENCES IN THE REPUBLIC OF IRELAND";"ABORTION IMMOBILITY;IMMOBILITY SPATIAL;SPATIAL CONSEQUENCES"
"SIEGEL DP, 2024, Radic. Teach.";"TEACHING DOBBS TO DISRUPT U.S. HEGEMONY AND BUILD FEMINIST SOLIDARITIES";"TEACHING DOBBS;BUILD FEMINIST;FEMINIST SOLIDARITIES"
"SIGAL J, 2012, Reprod. JUSTICE: Glob. Concern";"CONCLUSION: AN INTERNATIONAL VIEW OF PUBLIC POLICY FOR REPRODUCTIVE JUSTICE";"INTERNATIONAL VIEW;PUBLIC POLICY;REPRODUCTIVE JUSTICE"
"SILVA JUNIOR AL, 2023, DEV WORLD BIOETH";"ASSISTED REPRODUCTION TECHNOLOGIES AND REPRODUCTIVE JUSTICE IN THE PRODUCTION OF PARENTHOOD AND ORIGIN: USES AND MEANINGS OF THE CO-PRODUCED GESTATION AND THE SURROGACY IN BRAZIL";"ASSISTED REPRODUCTION;REPRODUCTION TECHNOLOGIES;REPRODUCTIVE JUSTICE;CO-PRODUCED GESTATION"
"SILVER LJ, 2020, FEM ANTHR";"QUEERING REPRODUCTIVE JUSTICE: MEMORIES, MISTAKES, AND MOTIVATIONS TO TRANSFORM KINSHIP";"QUEERING REPRODUCTIVE;REPRODUCTIVE JUSTICE;JUSTICE MEMORIES;MEMORIES MISTAKES;TRANSFORM KINSHIP"
"SILVERIO SA, 2024, FRONT PUBLIC HEALTH";"FREEDOM FOR SOME, BUT NOT FOR MUM: THE REPRODUCTIVE INJUSTICE ASSOCIATED WITH PANDEMIC `FREEDOM DAY' FOR PERINATAL WOMEN IN THE UNITED KINGDOM";"REPRODUCTIVE INJUSTICE;PANDEMIC FREEDOM;FREEDOM DAY;PERINATAL WOMEN;UNITED KINGDOM"
"SILVERMAN ME, 2019, INFANT MENT HEALTH J";"REFLECTIVE CAPACITY: AN ANTIDOTE TO STRUCTURAL RACISM CULTIVATED THROUGH MENTAL HEALTH CONSULTATION";"REFLECTIVE CAPACITY;STRUCTURAL RACISM;RACISM CULTIVATED;MENTAL HEALTH;HEALTH CONSULTATION"
"SIMMONDS K, 2017, JOGNN";"PATHWAYS TO COMPETENCE IN SEXUAL AND REPRODUCTIVE HEALTH CARE FOR ADVANCED PRACTICE NURSES";"REPRODUCTIVE HEALTH;HEALTH CARE;ADVANCED PRACTICE;PRACTICE NURSES"
"SIMMONDS K, 2024, Online J. ISSUES Nurs.";"REFLECTIONS ON REPRODUCTIVE JUSTICE IN THE UNITED STATES FROM 1989 TO 2024";"REPRODUCTIVE JUSTICE"
"SIMPSON CY, 2023, RELIGIONS";"FOR MY DAUGHTER KAKUYA: IMAGINING CHILDREN AT THE END(S) OF THE WORLD";"DAUGHTER KAKUYA;KAKUYA IMAGINING;IMAGINING CHILDREN"
"SINGER EO, 2018, CULT MED PSYCHIATR";"LAWFUL SINNERS: REPRODUCTIVE GOVERNANCE AND MORAL AGENCY AROUND ABORTION IN MEXICO";"LAWFUL SINNERS;SINNERS REPRODUCTIVE;REPRODUCTIVE GOVERNANCE;MORAL AGENCY"
"SINGER NR, 2020, COMMUN THEORY";"TOWARD INTERSECTIONAL ECOFEMINIST COMMUNICATION STUDIES";"INTERSECTIONAL ECOFEMINIST;ECOFEMINIST COMMUNICATION;COMMUNICATION STUDIES"
"SINGH B, 2024, Intersect. LAW Comput. Intell. Health Gov.";"ANALYZING HUMAN GENOME AND EMBRYO EDITING: INTERNATIONAL CANONS FOR LEGAL-SOCIAL ISSUES CONCERNING WOMEN’S HEALTH AND REPRODUCTIVE RIGHTS";"ANALYZING HUMAN;HUMAN GENOME;EMBRYO EDITING;EDITING INTERNATIONAL;INTERNATIONAL CANONS;LEGAL-SOCIAL ISSUES;WOMENS HEALTH;REPRODUCTIVE RIGHTS"
"SITTO K, 2021, COMMUNICATIO";"``MY BIRTH CONTROL MAKES ME EMOTIONALLY PSYCHO'': ONLINE FEMALE NARRATIVES ABOUT CONTRACEPTIVES";"BIRTH CONTROL;CONTROL MAKES;EMOTIONALLY PSYCHO;PSYCHO ONLINE;ONLINE FEMALE;FEMALE NARRATIVES"
"SLOCUM B, 2022, WOMEN";"BODY SIZE, FERTILITY, AND REPRODUCTIVE JUSTICE: EXAMINING THE COMPLEX INTERPLAY BETWEEN BMI, REPRODUCTIVE HEALTH, AND ACCESS TO CARE";"BODY SIZE;SIZE FERTILITY;REPRODUCTIVE JUSTICE;JUSTICE EXAMINING;COMPLEX INTERPLAY;BMI REPRODUCTIVE;REPRODUCTIVE HEALTH"
