"";"SR";"TC";"PY";"TI";"AB";"DI";"DT"
"11";"HAYES CM, 2020, AM J PUBLIC HEALTH";68;2020;"REPRODUCTIVE JUSTICE DISRUPTED: MASS INCARCERATION AS A DRIVER OF REPRODUCTIVE OPPRESSION";"WE DESCRIBE HOW MASS INCARCERATION DIRECTLY UNDERMINES THE CORE VALUES OF REPRODUCTIVE JUSTICE AND HOW THIS AFFECTS INCARCERATED AND NONINCARCERATED WOMEN. MASS INCARCERATION, BY ITS VERY NATURE, COMPROMISES AND UNDERMINES BODILY AUTONOMY AND THE CAPACITY FOR INCARCERATED PEOPLE TO MAKE DECISIONS ABOUT THEIR REPRODUCTIVE WELLBEING AND BODIES; THIS IS DONE THROUGH INSTITUTIONALIZED RACISM AND IS DISPROPORTIONATELY DONE TO THE BODIES OF WOMEN OF COLOR. THIS VIOLATES THE MOST BASIC TENETS OF REPRODUCTIVE JUSTICE-THE RIGHT TO HAVE A CHILD, NOT TO HAVE A CHILD, AND TO PARENT THE CHILDREN YOU HAVE WITH DIGNITY AND IN SAFETY. BY UNDERMINING MOTHERHOOD AND SAFE PREGNANCY CARE, DENYING ACCESS TO ABORTION AND CONTRACEPTION, AND PREVENTING PEOPLE FROM PARENTING THEIR CHILDREN AT ALL AND BY DOING SO IN OVER-POLICED, UNSAFE ENVIRONMENTS, MASS INCARCERATION HAS BECOME A DRIVER OF FORMS OF REPRODUCTIVE OPPRESSION FOR PEOPLE IN PRISON AND JAILS AND IN THE COMMUNITY.";"10.2105/AJPH.2019.305407";"EDITORIAL MATERIAL"
"12";"WEST R, 2009, YALE LAW J";68;2009;"FROM CHOICE TO REPRODUCTIVE JUSTICE: DE-CONSTITUTIONALIZING ABORTION RIGHTS";"THE ESSAY ARGUES THAT THE RIGHT TO ABORTION CONSTITUTIONALIZED IN ROE V. WADE IS BY SOME MEASURE AT ODDS WITH A CAPACIOUS UNDERSTANDING OF THE DEMANDS OF REPRODUCTIVE JUSTICE. NO MATTER ITS RATIONALE, THE CONSTITUTIONAL RIGHT TO ABORTION IS FUNDAMENTALLY A NEGATIVE RIGHT THAT RHETORICALLY KEEPS THE STATE OUT OF THE DOMAIN OF FAMILY LIFE. AS SUCH, THE DECISION PRIVATIZES NOT ONLY THE ABORTION DECISION, BUT ALSO PARENTING, BY RENDERING THE DECISION TO CARRY A PREGNANCY TO TERM A CHOICE. IT THEREBY LEGITIMATES A MINIMALIST STATE RESPONSE TO THE PROBLEMS OF PREGNANT WOMEN WHO CARRY THEIR PREGNANCIES TO TERM AND FOR POOR PARENTS WHO MIGHT NEED GREATER PUBLIC SUPPORT. THESE MARGINALIZED GROUPS NEED GREATER COMMUNITY AND STATE ASSISTANCE WITH THE DEMANDS OF PARENTING, AND THE EQUATION OF REPRODUCTIVE JUSTICE WITH A RIGHT TO TERMINATE A PREGNANCY IS IN TENSION WITH A POLITICAL OR LEGAL AGENDA FOR MEETING THOSE NEEDS. THE ESSAY THEN EXPLORES THE POSSIBILITY OF CREATING A RIGHT TO LEGAL ABORTION THROUGH ORDINARY POLITICAL MEANS, RATHER THAN THROUGH CONSTITUTIONAL ADJUDICATION, IN SUCH A WAY AS NOT TO CARRY THESE COSTS.";NA;"ARTICLE"
"13";"GRZANKA PR, 2020, WOMEN THER";66;2020;"FROM BUZZWORD TO CRITICAL PSYCHOLOGY: AN INVITATION TO TAKE INTERSECTIONALITY SERIOUSLY";"IN THIS PAPER, I INTRODUCE A FRAMEWORK THAT INVITES PSYCHOLOGISTS TO TAKE INTERSECTIONALITY SERIOUSLY. FIRST, I REVISIT SOME PRIMARY TOOLS OF INTERSECTIONAL ANALYSIS AND UNDERSCORE THEIR RELEVANCE TO CRITICAL TRAINING. I THEN SKETCH OUT A FLEXIBLE TYPOLOGY OF WHAT INTERSECTIONALITY IS AND, MORE CONSEQUENTIALLY, WHAT IT IS NOT. NEXT, I CONSIDER HOW INTERSECTIONALITY CAN HELP TO REIMAGINE THE RELATIONSHIPS BETWEEN COMPLEMENTARY AND COMPETING PARADIGMS IN MULTICULTURAL FEMINIST THEORY. FINALLY, I EXTEND COLE'S THREE-QUESTION FRAMEWORK FOR INTERSECTIONAL RESEARCH IN PSYCHOLOGY TO DEVELOP PRACTICAL QUESTIONS THAT MIGHT DEEPEN PSYCHOLOGY'S ENGAGEMENT WITH INTERSECTIONALITY AT THE LEVEL OF CRITICAL PEDAGOGY.";"10.1080/02703149.2020.1729473";"ARTICLE"
"14";"DUCRE KA, 2018, ENVIR SOCIOL";65;2018;"THE BLACK FEMINIST SPATIAL IMAGINATION AND AN INTERSECTIONAL ENVIRONMENTAL JUSTICE";"STARTING WITH SEMINAL WORK FROM KATHERINE MCKITTRICK AND KATHERINE MCKITTRICK AND THE LATE CLYDE WOODS, THIS PAPER COMPARES AND CONTRASTS ARTICULATIONS OF JUSTICE AS ESPOUSED BY BLACK FEMINISM, ECOFEMINISM, AND THE MOVEMENT FOR ENVIRONMENTAL JUSTICE. THE UTILIZATION OF AN INTERSECTIONAL GENEALOGICAL APPROACH ALLOWS FOR EXAMINATION OF THE WAYS IN WHICH THESE MOVEMENTS MIGHT SERVE AS THE IDEOLOGICAL BASES FOR A BLACK FEMINIST SPATIAL IMAGINATION AND AN INTERSECTIONAL ENVIRONMENTAL JUSTICE. A BLACK FEMINIST SPATIAL IMAGINATION IS AN ORIENTATION THAT ACCOUNTS FOR THE MERGER OF FRAMES AROUND RACE, GENDER, AND ECOLOGY; IT SERVES AS A UNIQUE DEPARTURE FROM CONVENTIONAL BLACK FEMINIST ANALYSIS BY ITS PARTICULAR ATTENTION TO THE CONSTRUCT OF SPACE IN BLACK FEMINIST EPISTEMOLOGY. ANALYSIS REVEALS THAT MANIFESTOS ENGAGE SIMILAR STRATEGIES AROUND BOUNDEDNESS, AN IDENTIFICATION AMONG A COLLECTIVE IDENTITY AND THE SUBJECT OF REPRODUCTIVE JUSTICE AND LIBERATION AS WRESTING CONTROL AND SELF-DETERMINATION OF PHYSICAL BODIES. THE FINAL TASK IS AN OUTLINE OF ESSENTIAL TENETS FOR A SINGULAR NOTION OF JUSTICE OF A BLACK FEMINIST SPATIAL IMAGINATION WHICH INCORPORATES THE SPIRIT OF ALL OF THREE MANIFESTOS AND EXPANDS CURRENT ENVIRONMENTAL JUSTICE DISCOURSE TO INCLUDE THOSE `WHO KNOW NO ONE KNOWS' WHILE HIGHLIGHTING BLACK WOMEN'S AGENCY IN ENVIRONMENTALLY DEGRADED ENVIRONMENTS.";"10.1080/23251042.2018.1426089";"ARTICLE"
"15";"JULIAN Z, 2020, SEMIN PERINATOL";63;2020;"COMMUNITY-INFORMED MODELS OF PERINATAL AND REPRODUCTIVE HEALTH SERVICES PROVISION: A JUSTICE-CENTERED PARADIGM TOWARD EQUITY AMONG BLACK BIRTHING COMMUNITIES";"PERINATAL HEALTH OUTCOMES IN THE UNITED STATES CONTINUE TO WORSEN, WITH THE GREATEST BURDEN OF INEQUITY FALLING ON BLACK BIRTHING COMMUNITIES. DESPITE TRANSDISCIPLINARY LITERATURE CITING STRUCTURAL RACISM AS A ROOT CAUSE OF INEQUITY, INTERVENTIONS CONTINUE TO BE MOSTLY PHYSICIAN-CENTERED MODELS OF PERINATAL AND REPRODUCTIVE HEALTHCARE (PRH). THESE MODELS PRIORITIZE INDIVIDUAL, BIOMEDICAL RISK IDENTIFICATION AND STRATIFICATION AS SOLUTIONS TO ACHIEVING EQUITY, WITHOUT ADEQUATELY ADDRESSING THE SOCIAL AND STRUCTURAL DETERMINANTS OF HEALTH. THE OBJECTIVE OF THIS REVIEW IS TO: (1) EXAMINE THE ASSOCIATION BETWEEN THE IMPACT OF STRUCTURAL AND OBSTETRIC RACISM AND PATIENT-CENTERED ACCESS TO PRH, (2) DEFINE AND APPLY REPRODUCTIVE JUSTICE (RJ) AS A FRAMEWORK TO COMBAT STRUCTURAL AND OBSTETRIC RACISM IN PRH, AND (3) DESCRIBE AND DEMONSTRATE HOW TO USE AN RJ LENS TO CRITICALLY ANALYZE PHYSICIAN-LED AND COMMUNITY-INFORMED PRH MODELS. WE CONCLUDE WITH RECOMMENDATIONS FOR BUILDING A PRH WORKFORCE WHOSE CAPACITY IS ALIGNED WITH RACIAL EQUITY. INSTITUTIONAL ALIGNMENT WITH A RJ PRAXIS CREATES OPPORTUNITIES FOR ADVANCING PRH WORKFORCE DIVERSIFICATION AND DEVELOPMENT AND IMPROVING PRH EXPERIENCES AND OUTCOMES FOR OUR PATIENTS, COMMUNITIES, AND WORKFORCE. PUBLISHED BY ELSEVIER INC.";"10.1016/j.semperi.2020.151267";"REVIEW"
"16";"MAMO L, 2015, J FAM ISSUES";57;2015;"QUEER INTIMACIES AND STRUCTURAL INEQUALITIES: NEW DIRECTIONS IN STRATIFIED REPRODUCTION";"THIS ARTICLE EXAMINES QUEER INTIMACIES PRODUCED BY AND WITHIN A GROWING INDUSTRY IN ASSISTING HUMAN REPRODUCTION. QUEER USERS OF FERTILITY BIOMEDICINE SUCH AS GAY MEN, GENDER QUEER, AND TRANSGENDER PEOPLE ARE CONSTITUTED WITHIN EXPANDED BIOMEDICAL FERTILITY SERVICES IN WAYS SIMILAR TO THEIR HETEROSEXUAL COUNTERPARTS, REPRODUCE MORE THAN HUMANS: THEY REPRODUCE CONSUMER MARKETPLACES, NORMATIVITIES, NOTIONS OF BELONGING, AND INTENSIFYING INEQUALITIES. YET AS THEY NEGOTIATE AND, AT TIMES, REINFORCE THESE CONTOURS, THEY ALSO PARTICIPATE IN NEW KINSHIP FORMS AS THEY DEMAND INCLUSION IN ONE OF THE MOST DURABLE AND SUPPORTED SOCIAL PRACTICES: HAVING CHILDREN.";"10.1177/0192513X14563796";"ARTICLE"
"17";"LE GUEN M, 2021, SOC SCI MED";55;2021;"REASONS FOR REJECTING HORMONAL CONTRACEPTION IN WESTERN COUNTRIES: A SYSTEMATIC REVIEW";"OVER THE PAST DECADE, WOMEN IN WESTERN COUNTRIES HAVE TAKEN TO VARIOUS SOCIAL MEDIA PLATFORMS TO SHARE THEIR DISSATISFACTORY EXPERIENCES WITH HORMONAL CONTRACEPTION, WHICH MAY BE PILLS, PATCHES, RINGS, INJECTABLES, IMPLANTS OR HORMONAL INTRAUTERINE DEVICES (IUDS). THESE ONLINE TESTIMONIALS HAVE BEEN DENOUNCED AS SPREADING ``HORMONOPHOBIA'' I.E. AN EXCESSIVE FEAR OF HORMONES BASED ON IRRATIONAL CAUSES SUCH AS AN OVERESTIMATION OF HEALTH RISKS ASSOCIATED WITH THEIR USE, THAT WAS ALREADY AROUSED BY THE RECURRING MEDIA CONTROVERSIES OVER HORMONAL CONTRACEPTION. IN ORDER TO MOVE TOWARD A REPRODUCTIVE JUSTICE FRAMEWORK, WE PROPOSE TO STUDY THE ARGUMENTS THAT WOMEN AND MEN (AS PARTNERS OF FEMALE USERS) RECENTLY PUT FORWARD AGAINST HORMONAL CONTRACEPTION TO SEE WHETHER THEY ARE RELATED TO HORMONOPHOBIA. THE AIM OF THIS ARTICLE IS TO CONDUCT A SYSTEMATIC REVIEW OF THE RECENT SCIENTIFIC LITERATURE IN ORDER TO CONSTRUCT AN EVIDENCE-BASED TYPOLOGY OF REASONS FOR REJECTING HORMONAL CONTRACEPTION, IN A CONTINUUM PERSPECTIVE FROM COMPLAINTS TO CHOOSING NOT TO USE IT, CITED BY WOMEN AND MEN IN WESTERN COUNTRIES IN A RECENT TIME. THE PUBLISHED LITERATURE WAS SYSTEMATICALLY SEARCHED USING PUBMED AND THE DATABASE FROM THE FRENCH NATIONAL INSTITUTE FOR DEMOGRAPHIC STUDIES (INED). A TOTAL OF 42 ARTICLES WERE INCLUDED FOR FULL-TEXT ANALYSIS. EIGHT MAIN CATEGORIES EMERGED AS REASONS FOR REJECTING HORMONAL CONTRACEPTION: PROBLEMS RELATED TO PHYSICAL SIDE EFFECTS; ALTERED MENTAL HEALTH; NEGATIVE IMPACT ON SEXUALITY; CONCERNS ABOUT FUTURE FERTILITY; INVOCATION OF NATURE; CONCERNS ABOUT MENSTRUATION; FEARS AND ANXIETY; AND THE DELEGITIMIZATION OF THE SIDE EFFECTS OF HORMONAL CONTRACEPTIVES. THUS, ARGUMENTS AGAINST HORMONAL CONTRACEPTION APPEARED COMPLEX AND MULTIFACTORIAL. FUTURE RESEARCH SHOULD EXAMINE THE PROVIDER-PATIENT RELATIONSHIP, THE GENDER BIAS OF HORMONAL CONTRACEPTION AND DEMANDS FOR NATURALNESS IN ORDER TO UNDERSTAND HOW BIRTH CONTROL COULD BETTER MEET THE NEEDS AND EXPECTATIONS OF WOMEN AND MEN IN WESTERN COUNTRIES TODAY.";"10.1016/j.socscimed.2021.114247";"REVIEW"
"18";"GRZANKA PR, 2019, COUNS PSYCHOL";51;2019;"WHITE SUPREMACY AND COUNSELING PSYCHOLOGY: A CRITICAL-CONCEPTUAL FRAMEWORK Ψ";"THE MAINSTREAMING OF WHITE NATIONALISM IN THE UNITED STATES AND WORLDWIDE SUGGESTS AN URGENT NEED FOR COUNSELING PSYCHOLOGISTS TO TAKE STOCK OF WHAT TOOLS THEY HAVE (AND DO NOT HAVE) TO COMBAT WHITE SUPREMACY. WE REVIEW THE RISE OF SOCIAL JUSTICE ISSUES IN THE FIELD OF COUNSELING PSYCHOLOGY AND ALLIED HELPING PROFESSIONS AND POINT TO THE LIMITS OF EXISTING PARADIGMS TO ADDRESS THE CHALLENGE OF WHITE SUPREMACY. WE INTRODUCE TRANSNATIONALISM AS AN IMPORTANT THEORETICAL PERSPECTIVE WITH WHICH TO CONCEPTUALIZE GLOBAL RACISMS, AND IDENTIFY WHITE RACIAL AFFECT, INTERSECTIONALITY, AND ALLYSHIP AS THREE KEY DOMAINS OF ANTIRACIST ACTION RESEARCH. FINALLY, WE SUGGEST THREE STEPS FOR SHARPENING COUNSELING PSYCHOLOGISTS' APPROACHES TO SOCIAL JUSTICE: REJECTING RACIAL PROGRESS NARRATIVES, ENGAGING IN SOCIAL JUSTICE-ORIENTED PRACTICE WITH WHITE CLIENTS, AND CENTERING WHITE SUPREMACY AS A KEY PROBLEM FOR THE FIELD OF COUNSELING PSYCHOLOGY AND ALLIED HELPING PROFESSIONS.";"10.1177/0011000019880843";"ARTICLE"
"19";"HOOVER E, 2018, ENVIR SOCIOL";50;2018;"ENVIRONMENTAL REPRODUCTIVE JUSTICE: INTERSECTIONS IN AN AMERICAN INDIAN COMMUNITY IMPACTED BY ENVIRONMENTAL CONTAMINATION";"IN ORDER TO FULLY UNDERSTAND THE IMPACT OF CONTAMINATION ON INDIGENOUS COMMUNITIES, THIS PAPER EXPLORES HOW INTERSECTIONALITY HAS BEEN INTEGRAL TO THE DEVELOPMENT OF ENVIRONMENTAL JUSTICE (EJ) AND REPRODUCTIVE JUSTICE (RJ), AND HOW CONSIDERING THE WAYS IN WHICH THESE TWO FRAMEWORKS THEN INTERSECT WITH EACH OTHER IS NECESSARY TO MORE FULLY EXPLICATE HOW TOXICANTS HAVE THREATENED THE REPRODUCTION OF HUMAN BEINGS AND TRIBAL CULTURE. THE CONCEPT OF ENVIRONMENTAL REPRODUCTIVE JUSTICE (ERJ), OR ENSURING THAT ENVIRONMENTAL ISSUES DO NOT INTERFERE WITH PHYSICAL OR CULTURAL REPRODUCTION, INVOLVES EXPANDING REPRODUCTIVE JUSTICE TO INCLUDE A DEEPER FOCUS ON THE ENVIRONMENT, AND TO INCLUDE THE REPRODUCTION OF LANGUAGE AND CULTURE AS CONCERNS, IN ADDITION TO THE REPRODUCTION OF HUMAN BEINGS. ERJ ALSO AIMS TO EXPAND THE FRAMEWORK OF ENVIRONMENTAL JUSTICE TO MORE CLOSELY CONSIDER THE IMPACT OF ENVIRONMENTAL CONTAMINANTS ON PHYSICAL AND CULTURAL REPRODUCTION. THROUGH THE EXAMPLE OF AKWESASNE, A MOHAWK AMERICAN INDIAN COMMUNITY LOCATED DOWNSTREAM FROM INDUSTRIAL SITES ON THE NEW YORK/CANADIAN BORDER, THIS PAPER EXPLORES HOW THE CONCEPT OF ERJ CAN BE UTILIZED TO UNDERSTAND THE UNIQUE SITUATION OF AMERICAN INDIAN COMMUNITIES WHO ARE ARGUING THAT JUSTICE NECESSITATES GOING BEYOND EQUAL PROTECTION.";"10.1080/23251042.2017.1381898";"ARTICLE"
"20";"THOMPSON TAM, 2022, HEALTH AFF";49;2022;"RACISM RUNS THROUGH IT: EXAMINING THE SEXUAL AND REPRODUCTIVE HEALTH EXPERIENCE OF BLACK WOMEN IN THE SOUTH";"FEW STUDIES HAVE ILLUSTRATED HOW RACISM INFLUENCES BLACK WOMEN'S USE OF REPRODUCTIVE HEALTH CARE SERVICES. THIS ARTICLE PRESENTS FINDINGS OF A COLLABORATIVE STUDY CONDUCTED BY A RESEARCH TEAM AND A REPRODUCTIVE JUSTICE ORGANIZATION TO UNDERSTAND BLACK WOMEN'S CONCERNS WITH SEXUAL AND REPRODUCTIVE HEALTH SERVICES. THE QUALITATIVE RESEARCH WAS CONDUCTED WITH BLACK WOMEN LIVING IN GEORGIA AND NORTH CAROLINA, USING A COMMUNITY-BASED PARTICIPATORY RESEARCH APPROACH. THEMES WERE DEVELOPED FROM PARTICIPANT ACCOUNTS THAT HIGHLIGHT HOW RACISM, BOTH STRUCTURAL AND INDIVIDUAL, INFLUENCED THEIR REPRODUCTIVE HEALTH CARE ACCESS, UTILIZATION, AND EXPERIENCE. STRUCTURAL RACISM AFFECTED PARTICIPANTS' FINANCES AND LED SOME TO FORGO CARE OR FACE BARRIERS TO OBTAINING CARE. INDIVIDUAL RACISM RESULTED IN SOME WOMEN ELECTING TO RECEIVE CARE ONLY FROM SAME-RACE MEDICAL PROVIDERS. THESE FINDINGS SUGGEST A NEED FOR POLICIES AND PRACTICES THAT ADDRESS STRUCTURAL BARRIERS TO REPRODUCTIVE HEALTH CARE ACCESS AND IMPROVE THE REPRODUCTIVE HEALTH EXPERIENCE OF BLACK WOMEN.";"10.1377/hlthaff.2021.01422";"ARTICLE"
"21";"KAWWASS JF, 2021, FERTIL STERIL";47;2021;"FERTILITY-A HUMAN RIGHT WORTHY OF MANDATED INSURANCE COVERAGE: THE EVOLUTION, LIMITATIONS, AND FUTURE OF ACCESS TO CARE";"WE REVIEW THE HISTORY, CURRENT STATUS, AND POTENTIAL FUTURE OF STATE INFERTILITY MANDATES AND FOCUS ON THE BUSINESS IMPLICATIONS OF MANDATES AND ON THE INADEQUACIES AND REPRODUCTIVE INJUSTICE RESULTING FROM GAPS BETWEEN LEGISLATIVE INTENT AND PRACTICAL IMPLEMENTATION. NINETEEN STATES HAVE PASSED LAWS THAT REQUIRE INSURERS TO EITHER COVER OR OFFER COVERAGE FOR INFERTILITY DIAGNOSES AND TREATMENT. THE QUALIFICATIONS FOR COVERAGE, EXTENT OF COVERAGE, AND EXEMPTIONS VARY DRASTICALLY FROM ONE STATE TO ANOTHER, RESULTING IN DEFICIENCIES IN ACCESS TO CARE EVEN WITHIN MANDATED STATES FOR CERTAIN GROUPS, SUCH AS SINGLE INDIVIDUALS, PATIENTS IN SAME-SEX RELATIONSHIPS, AND PATIENTS PURSUING FERTILITY PRESERVATION. ALTHOUGH INSURANCE COVERAGE OF FERTILITY SERVICES IN THE UNITED STATES HAS EXPANDED AS AN INCREASING NUMBER OF STATES HAVE ENACTED INFERTILITY MANDATES, SIGNIFICANT GAPS IN IMPLEMENTATION AND ACCESS REMAIN EVEN AMONG STATES WITH EXISTING MANDATES. PROVIDER, PATIENT, AND LEGISLATIVE ADVOCACY IS WARRANTED IN THE NAME OF REPRODUCTIVE JUSTICE TO EXPAND INSURANCE COVERAGE AND, IN TURN, MAXIMIZE REPRODUCTIVE OUTCOMES, WHICH HAVE BEEN SHOWN TO IMPROVE AS FINANCIAL BARRIERS ARE LIFTED. (C) 2020 BY AMERICAN SOCIETY FOR REPRODUCTIVE MEDICINE.";"10.1016/j.fertnstert.2020.09.155";"ARTICLE"
"22";"MONIZ MH, 2017, OBSTET GYNECOL";47;2017;"INPATIENT POSTPARTUM LONG-ACTING REVERSIBLE CONTRACEPTION <I>CARE THAT PROMOTES REPRODUCTIVE JUSTICE</I>";"INPATIENT INSERTION OF LONG-ACTING REVERSIBLE CONTRACEPTIVES (LARC) (INTRAUTERINE DEVICES AND IMPLANTS) IS INCREASINGLY OFFERED TO WOMEN IMMEDIATELY AFTER CHILDBIRTH. ENTHUSIASM FOR THIS APPROACH STEMS FROM ROBUST SAFETY, EFFECTIVENESS, AND COST-EFFECTIVENESS DATA AND RESPONSIVENESS TO WOMEN'S NEEDS AND PREFERENCES. ALTHOUGH CLINICAL EVIDENCE FOR IMMEDIATE POSTPARTUM LARC IS WELL-ESTABLISHED, THE ETHICAL IMPLICATIONS OF ENHANCING ACCESS TO THIS CARE HAVE NOT BEEN FULLY CONSIDERED. CONTRACEPTIVE POLICIES AND PRACTICES OFTEN EMBODY A TENSION BETWEEN FOSTERING LIBERAL AVAILABILITY AND POTENTIALLY COERCIVE PROMOTION OF SOME METHODS. HISTORICAL CONTRACEPTIVE POLICIES AND CONTEMPORARY DISPARITIES IN LARC USE POINT TO THE NEED TO CONSIDER WHETHER HEALTH POLICIES AND HEALTH CARE PRACTICES SUPPORT ALL WOMEN'S REPRODUCTIVE WISHES. IMMEDIATE POSTPARTUM LARC SERVICES NEED TO BE DESIGNED AND IMPLEMENTED WITH THE GOAL OF ENSURING AUTONOMY AND EQUITY IN POSTPARTUM CONTRACEPTIVE CARE. TO THIS END, THESE SERVICES SHOULD INCLUDE STRATEGIC PLANS TO PROMOTE UNIVERSAL AVAILABILITY, PREVENT COERCION, AND ENABLE DEVICE REMOVAL.";"10.1097/AOG.0000000000002262";"ARTICLE"
"23";"LAPPE M, 2019, ANNU REV ANTHROPOL";46;2019;"ENVIRONMENTAL POLITICS OF REPRODUCTION";"WHAT CONSTITUTES ``HUMAN REPRODUCTION'' IS UNDER NEGOTIATION AS ITS BIOLOGY, SOCIAL NATURE, AND CULTURAL VALENCES ARE INCREASINGLY PERCEIVED AS BOUND UP IN ENVIRONMENTAL ISSUES. THIS REVIEW MAPS THE GROWING OVERLAP BETWEEN FORMERLY RATHER SEPARATE DOMAINS OF REPRODUCTIVE POLITICS AND ENVIRONMENTAL POLITICS, EXAMINING THREE INTERRELATED AREAS. THE FIRST IS THE EMERGENCE OF AN INTERSECTIONAL ENVIRONMENTAL REPRODUCTIVE JUSTICE FRAMEWORK IN ACTIVISM AND ENVIRONMENTAL HEALTH SCIENCE. THE SECOND IS THE BIOMEDICAL DELINEATION OF THE ENVIRONMENT OF REPRODUCTION AND DEVELOPMENT AS AN OBJECT OF GROWING RESEARCH AND INTERVENTION, AS WELL AS THE MARKING OFF OF EARLY-LIFE ENVIRONMENTS AS AN ``EXPOSED BIOLOGY'' CONSEQUENTIAL TO THE ENTIRE LIFE SPAN. THIRD IS RESEARCHERS' CRITICAL ENGAGEMENT WITH THE REPRODUCTIVE SUBJECT OF ENVIRONMENTAL POLITICS AND THE LIVED EXPERIENCE OF REPRODUCTION IN ENVIRONMENTALLY DYSTOPIC TIMES. EFFORTS TO RETHINK THE INTERSECTIONS OF REPRODUCTIVE AND ENVIRONMENTAL POLITICS ARE FOUND THROUGHOUT THESE THREE AREAS.";"10.1146/annurev-anthro-102218-011346";"ARTICLE; BOOK CHAPTER"
"24";"DUDGEON P, 2019, GENEALOGY";44;2019;"INDIGENOUS RELATIONALITY: WOMEN, KINSHIP AND THE LAW";"STRONG FEMALE GOVERNANCE HAS ALWAYS BEEN CENTRAL TO ONE OF THE WORLD'S OLDEST EXISTING CULTURALLY DIVERSE, HARMONIOUS, SUSTAINABLE, AND DEMOCRATIC SOCIETIES. ABORIGINAL AND TORRES STRAIT ISLANDER WOMEN'S GOVERNANCE OF A COUNTRY TWICE THE SIZE OF EUROPE IS BASED ON COMPLEX LAWS WHICH REGULATE RELATIONSHIPS TO COUNTRY, FAMILY, COMMUNITY, CULTURE AND SPIRITUALITY. THESE LAWS ARE PASSED DOWN THROUGH GENERATIONS AND DESCRIBE KINSHIP SYSTEMS WHICH ENCOMPASS SOPHISTICATED RELATIONS TO THE MORE-THAN-HUMAN. THIS ARTICLE EXPLORES INDIGENOUS KINSHIP AS AN EXPRESSION OF RELATIONALITY, CULTURALLY SPECIFIC AND COMPLEX INDIGENOUS KNOWLEDGE SYSTEMS WHICH ARE FOUNDED ON A CONNECTION TO THE LAND. ALTHOUGH INDIGENOUS AUSTRALIAN WOMEN'S KINSHIPS HAVE BEEN DISRUPTED THROUGH DISPOSSESSION FROM THE LANDS THEY BELONG TO, THE FORCED REMOVAL OF THEIR CHILDREN ACROSS GENERATIONS, AND THE DESTRUCTION OF THEIR CULTURE, COMMUNITY AND KINSHIP NETWORKS, THE SURVIVAL OF INDIGENOUS WOMEN'S KNOWLEDGE SYSTEMS HAVE SUPPORTED THE RESTORATION OF INDIGENOUS RELATIONALITY. THE STRENGTHENING OF INDIGENOUS WOMEN'S KINSHIP IS EXPLORED AS A SOURCE OF SOCIAL AND EMOTIONAL WELLBEING AND AN EMERGING POLITICS OF ENVIRONMENTAL REPRODUCTIVE JUSTICE.";"10.3390/genealogy3020023";"ARTICLE"
