"";"Term";"Cluster"
"INTERSECTIONAL MULTILEVEL";"INTERSECTIONAL MULTILEVEL";4
"INTERSECTIONAL POLITICS";"INTERSECTIONAL POLITICS";2
"INTERSECTIONAL PRAXIS";"INTERSECTIONAL PRAXIS";6
"INTERSECTIONAL RHETORICAL";"INTERSECTIONAL RHETORICAL";4
"INTERSECTIONAL SCIENCE";"INTERSECTIONAL SCIENCE";4
"INTERSECTIONAL SEXUALITY";"INTERSECTIONAL SEXUALITY";1
"INTERSECTIONAL SOLIDARITY";"INTERSECTIONAL SOLIDARITY";6
"INTERSECTIONAL STRATEGIES";"INTERSECTIONAL STRATEGIES";2
"INTERSECTIONALITY GENDERED";"INTERSECTIONALITY GENDERED";4
"INTERSECTIONS REPRODUCTIVE";"INTERSECTIONS REPRODUCTIVE";4
"INTERSEX QUEER";"INTERSEX QUEER";6
"INTERVENTION RHETORICALLY";"INTERVENTION RHETORICALLY";6
"INTIMACY DESIRE";"INTIMACY DESIRE";6
"INTIMATE PARTNER";"INTIMATE PARTNER";4
"INTRAPARTUM CARE";"INTRAPARTUM CARE";1
"INTRODUCING TRANSCENDING";"INTRODUCING TRANSCENDING";2
"INTRODUCTION GENDER";"INTRODUCTION GENDER";6
"INTRODUCTION LEGAL";"INTRODUCTION LEGAL";2
"INTRODUCTION SECURING";"INTRODUCTION SECURING";6
"INTRODUCTION WEIGHING";"INTRODUCTION WEIGHING";6
"INTRODUCTION WOMENS";"INTRODUCTION WOMENS";4
"INVISIBLE RESPONSIBLE";"INVISIBLE RESPONSIBLE";4
"INVOLVING PREGNANT";"INVOLVING PREGNANT";5
"IRELAND CRITIQUE";"IRELAND CRITIQUE";6
"IRELAND IKELLIE";"IRELAND IKELLIE";5
"IRELAND JUNE";"IRELAND JUNE";5
"IRELANDS CAMPAIGN";"IRELANDS CAMPAIGN";5
"IRISH CONTEXT";"IRISH CONTEXT";6
"IRISH FEMINIST";"IRISH FEMINIST";2
"IRISH REPEAL";"IRISH REPEAL";4
"ISASSAFRASS CYPRESS";"ISASSAFRASS CYPRESS";4
"ISAVING DELANEYI";"ISAVING DELANEYI";4
"ISEXI IMARRIAGEI";"ISEXI IMARRIAGEI";2
"ISLAMIC MEDICAL";"ISLAMIC MEDICAL";1
"ISLAND CROSSING";"ISLAND CROSSING";6
"ISSUE ANALYSING";"ISSUE ANALYSING";4
"ISSUE FRAMING";"ISSUE FRAMING";5
"ISSUE INTRODUCTION";"ISSUE INTRODUCTION";2
"ISSUE REPRODUCTIVE";"ISSUE REPRODUCTIVE";4
"ISSUES RESEARCH";"ISSUES RESEARCH";2
"ISTATIONI IELEVENI";"ISTATIONI IELEVENI";6
"ITALIAN LITERATURE";"ITALIAN LITERATURE";3
"ITALYS FOETUS";"ITALYS FOETUS";6
"ITHE HANDMAIDS";"ITHE HANDMAIDS";1
"ITHE MOVEMENT";"ITHE MOVEMENT";4
"IUD EXPECTATIONS";"IUD EXPECTATIONS";6
"IUD INSERTION";"IUD INSERTION";6
"IUD INSERTIONS";"IUD INSERTIONS";6
"IUD SELF-REMOVAL";"IUD SELF-REMOVAL";6
"IVF REFLECTIONS";"IVF REFLECTIONS";2
"JACKSON EMPOWERING";"JACKSON EMPOWERING";4
"JAMES BOND";"JAMES BOND";6
"JANAINA QUIRINO";"JANAINA QUIRINO";6
"JAPANESE AMERICAN";"JAPANESE AMERICAN";5
"JAPANESE WOMENS";"JAPANESE WOMENS";6
"JEN JORDANS";"JEN JORDANS";2
"JERSEY SOCIAL";"JERSEY SOCIAL";3
"JESMYN WARDS";"JESMYN WARDS";1
"JIANS NOVE";"JIANS NOVE";6
"JOHN MANDELS";"JOHN MANDELS";6
"JOIA CREAR-PERRY";"JOIA CREAR-PERRY";6
"JORDANS DISSENT";"JORDANS DISSENT";2
"JOURNEYS STIGMA";"JOURNEYS STIGMA";6
"JUSTICE-INVOLVED BLACK";"JUSTICE-INVOLVED BLACK";2
"JUSTICE ANTI-GENDER";"JUSTICE ANTI-GENDER";6
"JUSTICE BODILY";"JUSTICE BODILY";3
"JUSTICE BORN";"JUSTICE BORN";6
"JUSTICE DEAF";"JUSTICE DEAF";4
"JUSTICE DOMESTIC";"JUSTICE DOMESTIC";3
"JUSTICE DOULAS";"JUSTICE DOULAS";6
"JUSTICE GENDERED";"JUSTICE GENDERED";1
"JUSTICE JESMYN";"JUSTICE JESMYN";1
"JUSTICE MARY";"JUSTICE MARY";3
"JUSTICE MEMORIES";"JUSTICE MEMORIES";5
"JUSTICE MIGRANT";"JUSTICE MIGRANT";4
"JUSTICE POPULATION";"JUSTICE POPULATION";6
"JUSTICE QUEER";"JUSTICE QUEER";1
"JUSTICE SURROGACY";"JUSTICE SURROGACY";6
"JUSTICE UNMET";"JUSTICE UNMET";6
"JUSTICE VACCINE";"JUSTICE VACCINE";6
"JUSTICE WOMEN";"JUSTICE WOMEN";4
"KAKUYA IMAGINING";"KAKUYA IMAGINING";6
"KAWAKAMIS BREASTS";"KAWAKAMIS BREASTS";6
"KEETOOWAH EXPERIENCES";"KEETOOWAH EXPERIENCES";3
"KEITH-ROACHS EGGS";"KEITH-ROACHS EGGS";4
"KEN LOACHS";"KEN LOACHS";6
"KEY STAKEHOLDERS";"KEY STAKEHOLDERS";1
"KIDS REPRODUCTIVE";"KIDS REPRODUCTIVE";2
"KILL CUT";"KILL CUT";2
"KILLING BLACK";"KILLING BLACK";4
"KILLING DISABLED";"KILLING DISABLED";5
"KIN UTERINE";"KIN UTERINE";2
"KINDRED SPIRITS";"KINDRED SPIRITS";6
"KINSHIP GRAMMARS";"KINSHIP GRAMMARS";6
"KNOWLEDGE ATTITUDES";"KNOWLEDGE ATTITUDES";2
"KNOWLEDGE UNRAVELLING";"KNOWLEDGE UNRAVELLING";4
"KNOWLEDGES DECENTERING";"KNOWLEDGES DECENTERING";2
"LA CANTONADA";"LA CANTONADA";6
"LA QUEER";"LA QUEER";1
"LABOR REPRODUCTIVE";"LABOR REPRODUCTIVE";4
"LABOUR DALIT";"LABOUR DALIT";2
"LABOUR PAIN";"LABOUR PAIN";2
"LADY NORMATIVE";"LADY NORMATIVE";4
"LAESTADIAN DESIRE";"LAESTADIAN DESIRE";3
"LAESTADIAN WOMEN";"LAESTADIAN WOMEN";2
"LAESTADIANS BIRTH";"LAESTADIANS BIRTH";5
"LANDSCAPE CHICANA";"LANDSCAPE CHICANA";2
"LARGER CULTURAL";"LARGER CULTURAL";5
"LARISSA LAIS";"LARISSA LAIS";4
"LAWFUL SINNERS";"LAWFUL SINNERS";3
"LBTQ PARENTS";"LBTQ PARENTS";1
"LEAD CRISIS";"LEAD CRISIS";4
"LEADERSHIP SUCCESSION";"LEADERSHIP SUCCESSION";5
"LEARNING GUIDE";"LEARNING GUIDE";6
"LEARNING OUTCOMES";"LEARNING OUTCOMES";2
"LEISURE SURFEMINISM";"LEISURE SURFEMINISM";6
"LESBIAN THEORIZATIONS";"LESBIAN THEORIZATIONS";3
"LESSONS BLACK";"LESSONS BLACK";2
"LGBTQ WOMEN";"LGBTQ WOMEN";4
"LGBTQI SEXUAL";"LGBTQI SEXUAL";6
"LIBERAL APPROACHES";"LIBERAL APPROACHES";6
"LIBERATE BLACK";"LIBERATE BLACK";5
"LIBERATION REPRODUCTIVE";"LIBERATION REPRODUCTIVE";2
"LIBERATION THEOLOGY";"LIBERATION THEOLOGY";3
"LIFE CONTEXTS";"LIFE CONTEXTS";1
"LIFE FORMATIVE";"LIFE FORMATIVE";1
"LIFE GOALS";"LIFE GOALS";1
"LIFE HARDER";"LIFE HARDER";4
"LIFE PLANNING";"LIFE PLANNING";2
"LIMIT ABORTION";"LIMIT ABORTION";5
"LIMITING ACCESS";"LIMITING ACCESS";1
"LING MAS";"LING MAS";6
"LITERARY REPRESENTATIONS";"LITERARY REPRESENTATIONS";1
"LITERATURE CLASSROOM";"LITERATURE CLASSROOM";2
"LIVES GOVERNMENT";"LIVES GOVERNMENT";4
"LIVES MATTER";"LIVES MATTER";4
"LIVESI FORCED";"LIVESI FORCED";5
"LIVING CRISIS";"LIVING CRISIS";2
"LIVING FACILITIES";"LIVING FACILITIES";4
"LIVING GOD";"LIVING GOD";4
"LIVING SURVIVORS";"LIVING SURVIVORS";4
"LMICS UNNECESSARY";"LMICS UNNECESSARY";1
"LOACHS SOCIAL";"LOACHS SOCIAL";6
"LOBBY STORES";"LOBBY STORES";6
"LOCAL NEWS";"LOCAL NEWS";4
"LONG-TERM CARE";"LONG-TERM CARE";4
"LONG-TERM DEVELOPMENT";"LONG-TERM DEVELOPMENT";1
"LORETTA ROSS";"LORETTA ROSS";2
"LOSING MANHOOD";"LOSING MANHOOD";6
"LOUISE ERDRICHS";"LOUISE ERDRICHS";4
"LOUISIANAS MEDICALLY";"LOUISIANAS MEDICALLY";1
"LOW-COST IVF";"LOW-COST IVF";6
"LOWER-DIVISION LITERATURE";"LOWER-DIVISION LITERATURE";2
"LOWER QUALITY";"LOWER QUALITY";1
"MACHINE BLACK";"MACHINE BLACK";2
"MACHINE REPRODUCTIVE";"MACHINE REPRODUCTIVE";6
"MAD RESISTING";"MAD RESISTING";6
"MAGIC BULLET";"MAGIC BULLET";6
"MAHASWETA DEVIS";"MAHASWETA DEVIS";6
"MAINTAIN REPRODUCTIVE";"MAINTAIN REPRODUCTIVE";5
"MALIGN NEGLECT";"MALIGN NEGLECT";1
"MALLADIS IA";"MALLADIS IA";6
"MAMAS MATTER";"MAMAS MATTER";1
"MANAGEMENT MODES";"MANAGEMENT MODES";4
"MANAGING IUD";"MANAGING IUD";6
"MANAGING PRECARITY";"MANAGING PRECARITY";4
"MANDATED INSURANCE";"MANDATED INSURANCE";3
"MANDATORY WAITING";"MANDATORY WAITING";6
"MAORI REPRODUCTIVE";"MAORI REPRODUCTIVE";4
"MAORI VISIBLE";"MAORI VISIBLE";3
"MAPPING LEGAL";"MAPPING LEGAL";2
"MARGARET ATWOODS";"MARGARET ATWOODS";2
"MARY CALDERONE";"MARY CALDERONE";4
"MARY WOLLSTONECRAFT";"MARY WOLLSTONECRAFT";3
"MATERNAL IDEALIST";"MATERNAL IDEALIST";5
"MATERNITY RESIDENCES";"MATERNITY RESIDENCES";6
"MATTER DEVELOPING";"MATTER DEVELOPING";6
"MATTER EXPLORING";"MATTER EXPLORING";1
"MATTERS ALIGNING";"MATTERS ALIGNING";2
"MAYDAY RETHINKING";"MAYDAY RETHINKING";2
"MAZE MIDWIVES";"MAZE MIDWIVES";5
"MCGOVERN REFORMING";"MCGOVERN REFORMING";2
"MEANS FIGHTING";"MEANS FIGHTING";1
"MEASURING FERTILITY";"MEASURING FERTILITY";4
"MEDIA ERA";"MEDIA ERA";4
"MEDIA FRAMING";"MEDIA FRAMING";3
"MEDIA INTERVENTION";"MEDIA INTERVENTION";5
"MEDICAID COVERAGE";"MEDICAID COVERAGE";6
"MEDICAL ANTHROPOLOGY";"MEDICAL ANTHROPOLOGY";4
"MEDICAL FAMILY";"MEDICAL FAMILY";2
"MEDICAL SCHOOLS";"MEDICAL SCHOOLS";5
"MEET MISSISSIPPIS";"MEET MISSISSIPPIS";6
"MEETS CAUTION";"MEETS CAUTION";2
"MEMORIES MISTAKES";"MEMORIES MISTAKES";5
"MEMORY CONTEMPORARY";"MEMORY CONTEMPORARY";4
"MENSTRUAL CONCEALMENT-YOU";"MENSTRUAL CONCEALMENT-YOU";6
"MENSTRUAL CYCLE";"MENSTRUAL CYCLE";4
"MENSTRUATION PREFACE";"MENSTRUATION PREFACE";6
"MENTAL ILLNESS";"MENTAL ILLNESS";1
"METHODIST WOMEN";"METHODIST WOMEN";6
"MEXICAN IMMIGRANTS";"MEXICAN IMMIGRANTS";5
"MEXICO-US BORDER";"MEXICO-US BORDER";3
"MIDDLE-CLASS BLACK";"MIDDLE-CLASS BLACK";1
"MIDDLE-INCOME COUNTRIES";"MIDDLE-INCOME COUNTRIES";1
"MIDDLE CLASS";"MIDDLE CLASS";4
"MIDDLE PASSAGE";"MIDDLE PASSAGE";5
"MIDWEST EMERGENT";"MIDWEST EMERGENT";4
"MIDWIFERY CARE";"MIDWIFERY CARE";3
"MIDWIFERY FEMINISM";"MIDWIFERY FEMINISM";6
"MIDWIFERY RELATIONALITY";"MIDWIFERY RELATIONALITY";2
"MIDWIFERY ROLE";"MIDWIFERY ROLE";4
"MIDWIVES CARING";"MIDWIVES CARING";4
"MIDWIVES CLARIFY";"MIDWIVES CLARIFY";1
"MIDWIVES IDENTITY";"MIDWIVES IDENTITY";5
"MIDWIVES SAFEGUARDING";"MIDWIVES SAFEGUARDING";5
"MIEKO KAWAKAMIS";"MIEKO KAWAKAMIS";6
"MIFEPRISTONE REMS";"MIFEPRISTONE REMS";2
"MIGRANT EXTRACTABILITY";"MIGRANT EXTRACTABILITY";4
"MIGRANT JUSTICE";"MIGRANT JUSTICE";2
"MIGRANT LABOUR";"MIGRANT LABOUR";6
"MIGRANT RIGHTS";"MIGRANT RIGHTS";3
"MILITANT PARTICULARISM";"MILITANT PARTICULARISM";6
"MILK-EXPRESSION TECHNOLOGIES";"MILK-EXPRESSION TECHNOLOGIES";6
"MILK DONATION";"MILK DONATION";4
"MILK MONEY";"MILK MONEY";4
"MILLENNIUM DEVELOPMENT";"MILLENNIUM DEVELOPMENT";1
"MILLERSTON CONCLUSION";"MILLERSTON CONCLUSION";4
"MILLSS BLACK";"MILLSS BLACK";4
"MINORITY HEALTH";"MINORITY HEALTH";1
"MIS REPRESENTATION";"MIS REPRESENTATION";6
"MISCONCEPTION FATIGUE";"MISCONCEPTION FATIGUE";6
"MISOGYNY SURVIVES";"MISOGYNY SURVIVES";6
"MISREPRESENTING REPRODUCTIVE";"MISREPRESENTING REPRODUCTIVE";2
"MISSISSIPPIS FIERCEST";"MISSISSIPPIS FIERCEST";6
"MISTIMED PREGNANCY";"MISTIMED PREGNANCY";4
"MITIGATE HARMS";"MITIGATE HARMS";5
"MITIGATION OPPORTUNITIES";"MITIGATION OPPORTUNITIES";4
"MIXED-UP POLITICS";"MIXED-UP POLITICS";4
"MOBILE CRISIS";"MOBILE CRISIS";1
"MOBILE PROGRAMS";"MOBILE PROGRAMS";2
"MOBILE SERVICES";"MOBILE SERVICES";6
"MOBILITIES RHYTHMS";"MOBILITIES RHYTHMS";6
"MODEL PSYCHOLOGICAL";"MODEL PSYCHOLOGICAL";1
"MODERATING ASSOCIATION";"MODERATING ASSOCIATION";4
"MODERN ERA";"MODERN ERA";1
"MODERN FEMININE";"MODERN FEMININE";3
"MODERN IRELAND";"MODERN IRELAND";6
"MODERN NARRATIVES";"MODERN NARRATIVES";5
"MOMS ACT";"MOMS ACT";5
"MONEY RACE";"MONEY RACE";4
"MONEY SEX";"MONEY SEX";2
"MONTHS WEEKS";"MONTHS WEEKS";6
"MORAL AGENCY";"MORAL AGENCY";3
"MORAL CONUNDRUM";"MORAL CONUNDRUM";6
"MORAL ECONOMY";"MORAL ECONOMY";6
"MORAL MEMORY";"MORAL MEMORY";4
"MORAL OBLIGATION";"MORAL OBLIGATION";5
"MORAL RIGHTS";"MORAL RIGHTS";6
"MORAL VALUES";"MORAL VALUES";6
"MORALITY COURAGE";"MORALITY COURAGE";4
"MORBIDITYMORTALITY IMPEDES";"MORBIDITYMORTALITY IMPEDES";1
"MORTALITY POVERTY";"MORTALITY POVERTY";4
"MORTALITY RESEARCH";"MORTALITY RESEARCH";1
"MORTALITY RISK";"MORTALITY RISK";5
"MOTHER ACTIVISTS";"MOTHER ACTIVISTS";4
"MOTHER NEO-IMPERIAL";"MOTHER NEO-IMPERIAL";6
"MOTHERHOOD ANDAS";"MOTHERHOOD ANDAS";2
"MOTHERHOOD GRAFTED";"MOTHERHOOD GRAFTED";4
"MOTHERHOOD INITIATIVE";"MOTHERHOOD INITIATIVE";4
"MOTHERHOOD REPRODUCTIVE";"MOTHERHOOD REPRODUCTIVE";6
"MOTHERS BIRTHING";"MOTHERS BIRTHING";2
"MOTHERS REPRODUCTIVE";"MOTHERS REPRODUCTIVE";6
"MOTHERS STORIES";"MOTHERS STORIES";4
"MOTHERS VOICES";"MOTHERS VOICES";6
"MOUNTAIN REGION";"MOUNTAIN REGION";5
"MOUNTAIN WEST";"MOUNTAIN WEST";5
"MOVE MOBILE";"MOVE MOBILE";1
"MOVEMENT INTERSECTIONALITY";"MOVEMENT INTERSECTIONALITY";4
"MOVEMENT RESEARCH-A";"MOVEMENT RESEARCH-A";3
"MOVEMENT VOLUNTEER";"MOVEMENT VOLUNTEER";3
"MUJERES GITANAS";"MUJERES GITANAS";4
"MULTIDIMENSIONAL POWER";"MULTIDIMENSIONAL POWER";1
"MULTILINEAL KINSHIP";"MULTILINEAL KINSHIP";6
"MULTIPLE HARMS";"MULTIPLE HARMS";6
"MULTIVALENT LOSS";"MULTIVALENT LOSS";4
"MUNGIUS MONTHS";"MUNGIUS MONTHS";6
"MURATAS VANISHING";"MURATAS VANISHING";6
"MUSKOKA INITIATIVE";"MUSKOKA INITIATIVE";4
"MUTHA BLACK";"MUTHA BLACK";4
"NACIONAL INTEGRADO";"NACIONAL INTEGRADO";1
"NADYA SULEMAN";"NADYA SULEMAN";4
"NAIROBI SUMMIT";"NAIROBI SUMMIT";6
"NAMING SILENCE";"NAMING SILENCE";1
"NARRATIVE IDENTITY";"NARRATIVE IDENTITY";6
"NATAL POLITICS";"NATAL POLITICS";2
"NATIONAL ABORTION";"NATIONAL ABORTION";5
"NATIONAL COHORT";"NATIONAL COHORT";1
"NATIONAL CONVENING";"NATIONAL CONVENING";2
"NATIONAL INSTITUTE";"NATIONAL INSTITUTE";1
"NAVIGATE RISK";"NAVIGATE RISK";2
"NAVIGATING HOMELESSNESS";"NAVIGATING HOMELESSNESS";6
"NAVIGATING REPRODUCTION";"NAVIGATING REPRODUCTION";4
"NAVIGATING REPRODUCTIVE";"NAVIGATING REPRODUCTIVE";1
"NECROPOLITICAL APPROACH";"NECROPOLITICAL APPROACH";3
"NEGLECT BLACK";"NEGLECT BLACK";1
"NEGOTIATING SAMENESS";"NEGOTIATING SAMENESS";2
"NEIGHBORHOOD EVICTION";"NEIGHBORHOOD EVICTION";4
"NEO-IMPERIAL REPRODUCTIVE";"NEO-IMPERIAL REPRODUCTIVE";6
"NEO-MALTHUSIAN REFLEX";"NEO-MALTHUSIAN REFLEX";2
"NEOLIBERAL CHOICE";"NEOLIBERAL CHOICE";1
"NEOLIBERAL ENTANGLEMENT";"NEOLIBERAL ENTANGLEMENT";3
"NEOLIBERAL RIGHTS-BASED";"NEOLIBERAL RIGHTS-BASED";6
"NEOLIBERAL TIMES";"NEOLIBERAL TIMES";4
"NEOLIBERALISM NEOCONSERVATISM";"NEOLIBERALISM NEOCONSERVATISM";1
"NEWS COMMENTS";"NEWS COMMENTS";4
"NEWS COVERAGE";"NEWS COVERAGE";4
"NICHE SOCIALITY";"NICHE SOCIALITY";1
"NON-BINARY PEOPLE";"NON-BINARY PEOPLE";4
"NONBINARY ADOLESCENTS";"NONBINARY ADOLESCENTS";6
"NONBINARY PEOPLES";"NONBINARY PEOPLES";1
"NONREPRODUCING WOMEN";"NONREPRODUCING WOMEN";4
"NORDIC WELFARE";"NORDIC WELFARE";4
"NORM EXAMINING";"NORM EXAMINING";2
"NORMAL COLORED";"NORMAL COLORED";4
"NORMATIVE ACCOUNTABILITY";"NORMATIVE ACCOUNTABILITY";4
"NORMATIVE BODIES";"NORMATIVE BODIES";4
"NORMATIVE EXPECTATIONS";"NORMATIVE EXPECTATIONS";6
"NORMATIVE MOTHERHOOD";"NORMATIVE MOTHERHOOD";5
"NORTH AMERICA";"NORTH AMERICA";4
"NORTH CAROLINA";"NORTH CAROLINA";5
"NORTH CAROLINAS";"NORTH CAROLINAS";2
"NURSE PRACTITIONER";"NURSE PRACTITIONER";2
"NURSES ROLE";"NURSES ROLE";6
"NURSING EDUCATION";"NURSING EDUCATION";1
"NUTRITION SURVEY";"NUTRITION SURVEY";4
"OBESITY EPIDEMIC";"OBESITY EPIDEMIC";6
"OBSTETRIC PATIENTS";"OBSTETRIC PATIENTS";2
"OBSTETRICS ENHANCING";"OBSTETRICS ENHANCING";1
"OBTAINING BUY-IN";"OBTAINING BUY-IN";4
"OBTAINING POSTPARTUM";"OBTAINING POSTPARTUM";4
"OCCUPATIONAL HEALTH";"OCCUPATIONAL HEALTH";4
"OFFERING ABORTION";"OFFERING ABORTION";4
"ONE-CHILD POLICY";"ONE-CHILD POLICY";6
"ONGOING STRUGGLE";"ONGOING STRUGGLE";2
"ONLINE COMMUNITY";"ONLINE COMMUNITY";5
"ONLINE CROSS-SECTIONAL";"ONLINE CROSS-SECTIONAL";4
"ONLINE FEMALE";"ONLINE FEMALE";5
"ONLINE FRAMINGS";"ONLINE FRAMINGS";6
"ONLINE GENEALOGY";"ONLINE GENEALOGY";2
"ONLINE WORLD";"ONLINE WORLD";2
"ONTARIO CANADA";"ONTARIO CANADA";2
"OPPRESSION ENTERS";"OPPRESSION ENTERS";4
"OPPRESSIVE SOCIAL";"OPPRESSIVE SOCIAL";4
"OPTIMIZE INFANT";"OPTIMIZE INFANT";1
"ORAL HISTORY";"ORAL HISTORY";4
"ORANGA TAMARIKI";"ORANGA TAMARIKI";3
"ORGANIZATION DECISION";"ORGANIZATION DECISION";4
"ORGANIZATION NEGOTIATING";"ORGANIZATION NEGOTIATING";2
"ORGANS ENVIRONMENTAL";"ORGANS ENVIRONMENTAL";4
"ORLEANS MATERNAL";"ORLEANS MATERNAL";4
"OUTRIGHT CHALLENGES";"OUTRIGHT CHALLENGES";5
"OVER-THE-COUNTER ORAL";"OVER-THE-COUNTER ORAL";4
"OVERDOSES REPRODUCTIVE";"OVERDOSES REPRODUCTIVE";3
"OVERLAPPING HISTORIES";"OVERLAPPING HISTORIES";5
"OVERPOPULATION DISCOURSE";"OVERPOPULATION DISCOURSE";3
"OWES REPRODUCTIVE";"OWES REPRODUCTIVE";4
"PAIN NATAL";"PAIN NATAL";2
"PALLIATIVE CARE";"PALLIATIVE CARE";1
"PARADIGM SHIFT";"PARADIGM SHIFT";1
"PARADOX WOMEN";"PARADOX WOMEN";4
"PARALLELING FOOD";"PARALLELING FOOD";3
"PARENTHOOD COMPULSORY";"PARENTHOOD COMPULSORY";5
"PARENTHOOD NARRATIVES";"PARENTHOOD NARRATIVES";3
"PARENTING CULTURE";"PARENTING CULTURE";4
"PARENTING DEFINING";"PARENTING DEFINING";4
"PARENTS SURROGACY";"PARENTS SURROGACY";6
"PARTICIPATORY ACTION";"PARTICIPATORY ACTION";6
"PARTICULARISM SYMPOETIC";"PARTICULARISM SYMPOETIC";6
"PARTNER SELECTION";"PARTNER SELECTION";6
"PARTNER VIOLENCE";"PARTNER VIOLENCE";4
"PASTORAL GUIDELINES";"PASTORAL GUIDELINES";2
"PATH ANALYSIS";"PATH ANALYSIS";4
"PATIENT-CENTERED FAMILY";"PATIENT-CENTERED FAMILY";1
"PATIENT-CENTERED MOBILE";"PATIENT-CENTERED MOBILE";6
"PATIENT-CENTERED POSTPARTUM";"PATIENT-CENTERED POSTPARTUM";6
"PATIENT-CENTERED STRUCTURALLY";"PATIENT-CENTERED STRUCTURALLY";2
"PATIENT-PROVIDER RACE";"PATIENT-PROVIDER RACE";1
"PATIENT-REPORTED DIFFICULT";"PATIENT-REPORTED DIFFICULT";4
"PATIENT BARRIERS";"PATIENT BARRIERS";4
"PATIENT EPIDEMIOLOGY";"PATIENT EPIDEMIOLOGY";1
"PATIENTS LEAVE";"PATIENTS LEAVE";2
"PATIENTS RESIDING";"PATIENTS RESIDING";1
"PATIENTS SEEKING";"PATIENTS SEEKING";5
"PATRIARCHAL COMMITMENTS";"PATRIARCHAL COMMITMENTS";2
"PAULIINA RAUHALAS";"PAULIINA RAUHALAS";5
"PEDAGOGIA REPRODUTIVA";"PEDAGOGIA REPRODUTIVA";2
"PEDAGOGY NOMEANDO";"PEDAGOGY NOMEANDO";2
"PEDIATRIC EDUCATION";"PEDIATRIC EDUCATION";4
"PEDIATRIC HEALTH";"PEDIATRIC HEALTH";4
"PEDIATRIC PRIMARY";"PEDIATRIC PRIMARY";2
"PEDIATRIC TRAINING";"PEDIATRIC TRAINING";3
"PELVIC EXAMS";"PELVIC EXAMS";6
"PEOPLE ACCESS";"PEOPLE ACCESS";2
"PEOPLE ASSIGNED";"PEOPLE ASSIGNED";3
"PEOPLE CONVERSATIONS";"PEOPLE CONVERSATIONS";4
"PEOPLE IA";"PEOPLE IA";4
"PEOPLE REVISITING";"PEOPLE REVISITING";6
"PEOPLE SEEKING";"PEOPLE SEEKING";5
"PEOPLES BOOK";"PEOPLES BOOK";6
"PEOPLES EXPERIENCES";"PEOPLES EXPERIENCES";1
"PEOPLES REPRODUCTIVE";"PEOPLES REPRODUCTIVE";4
"PERCEIVED SENSE";"PERCEIVED SENSE";1
"PERFORMING MOTHERING";"PERFORMING MOTHERING";2
"PERPETUATE STRUCTURES";"PERPETUATE STRUCTURES";5
"PERSONS PREFER";"PERSONS PREFER";1
"PERSPECTIVE WISDOM";"PERSPECTIVE WISDOM";2
"PERSUASION NORMATIVE";"PERSUASION NORMATIVE";4
"PHALLIC ECONOMY";"PHALLIC ECONOMY";6
"PHANTOM PUBLIC";"PHANTOM PUBLIC";6
"PHARMACEUTICAL SOLUTION";"PHARMACEUTICAL SOLUTION";6
"PHENOMENOLOGICAL APPROACH";"PHENOMENOLOGICAL APPROACH";6
"PHILOSOPHERS MESSAGE";"PHILOSOPHERS MESSAGE";4
"PHYSICAL AUTONOMY";"PHYSICAL AUTONOMY";6
"PIG WASTE";"PIG WASTE";4
"PLACE-BASED REPRODUCTIVE";"PLACE-BASED REPRODUCTIVE";5
"PLANNING CHRONIC";"PLANNING CHRONIC";1
"PLANNING INTENTIONS";"PLANNING INTENTIONS";1
"PLANNING KNOWLEDGE";"PLANNING KNOWLEDGE";2
"PLANNING PARADIGM";"PLANNING PARADIGM";1
"PLANNING PROGRAMME";"PLANNING PROGRAMME";1
"PLANNING PROVIDERS";"PLANNING PROVIDERS";2
"PLANNING RAISING";"PLANNING RAISING";2
"PLANNING REPRODUCTIVE";"PLANNING REPRODUCTIVE";2
"PLANNING SCIENCE";"PLANNING SCIENCE";2
"PLEASURABLE FUTURES";"PLEASURABLE FUTURES";4
"POLICE VIOLENCE";"POLICE VIOLENCE";1
"POLICIES ADVANCING";"POLICIES ADVANCING";4
"POLICIES PRACTICES";"POLICIES PRACTICES";4
"POLICING HISTORIES";"POLICING HISTORIES";1
"POLICY CLINICAL";"POLICY CLINICAL";2
"POLICY CONFERENCE";"POLICY CONFERENCE";5
"POLICY DISCOURSES";"POLICY DISCOURSES";4
"POLICY LANDSCAPE";"POLICY LANDSCAPE";4
"POLICY POWER";"POLICY POWER";2
"POLICY SAGA";"POLICY SAGA";1
"POLICY WINDOW";"POLICY WINDOW";6
"POLITEST FORM";"POLITEST FORM";1
"POLITICAL ACTIVISM";"POLITICAL ACTIVISM";2
"POLITICAL CHALLENGES";"POLITICAL CHALLENGES";4
"POLITICAL CHANGE";"POLITICAL CHANGE";6
"POLITICAL DESIRE";"POLITICAL DESIRE";2
"POLITICAL IMAGINATION";"POLITICAL IMAGINATION";5
"POLITICAL PERFORMANCES";"POLITICAL PERFORMANCES";2
"POLITICAL PRAXIS";"POLITICAL PRAXIS";2
"POLITICAL REPARATIONS";"POLITICAL REPARATIONS";4
"POLITICAL RISKS";"POLITICAL RISKS";6
"POLITICS PRACTICES";"POLITICS PRACTICES";6
"POLITICS RACIALIZED";"POLITICS RACIALIZED";2
"POLITICS REPRODUCTIVE";"POLITICS REPRODUCTIVE";4
"POLITICS TECHNOCRATIC";"POLITICS TECHNOCRATIC";2
"POLYGENIC SCREENING";"POLYGENIC SCREENING";2
